Name,Team,W,L,QS,ERA,G,GS,SV,HLD,IP,TBF,H,R,ER,HR,BB,IBB,HBP,SO,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,GB%,HR/FB,FIP,WAR,RA9-WAR,ADP,InterSD,InterSK,IntraSD,PlayerId
"Michael Soroka","CHW",7.5235,9.6143,11.7436,4.39014,24.3,24.3,0,0,144.392,621.039,143.806,76.0171,70.4333,21.1133,49.1963,,8.3132,121.93,7.59998,3.06643,2.47845,1.316,0.196333,0.0792161,0.11711695790290833,0.255189,1.33666,0.291789,0.715753,0.454861,,4.66191,1.50332,1.76094,457.0199890136719,,,,"18383"
"Kyle Bradish","BAL",6.9767,6.2764,9.2613,3.93069,19.44,19.44,0,0,108.65,460.187,103.856,51.5331,47.4522,13.6054,34.3902,,4.606,106.155,8.79336,2.84871,3.08679,1.127,0.230679,0.0747309,0.15594790130853653,0.246576,1.2724,0.299407,0.727466,0.46349,,4.0056,1.48871,1.6159,369.3999938964844,,,,"24586"
"Aaron Ashby","MIL",5.6064,4.8593,4.5781,3.51261,49.72,9.72,0,0.6034,92.9141,394.561,80.0553,39.8762,36.2634,8.95072,41.169,,4.2041,104.33,10.1058,3.98778,2.53418,0.867,0.26442,0.104341,0.16007866710424423,0.229261,1.30469,0.301409,0.748419,0.51503,,3.72665,1.45558,1.61324,462.95001220703125,,,,"23550"
"Garrett Whitlock","BOS",6.8825,6.8299,6.5523,4.27157,44.2,16.2,0,0.6275,116.926,495.724,118.256,59.6372,55.4955,16.5776,30.521,,4.6176,109.06,8.39448,2.34925,3.57326,1.276,0.220001,0.0615685,0.15843211859464645,0.256752,1.2724,0.303566,0.709891,0.427969,,4.13427,1.43808,1.57069,332.75,,,,"20191"
"Colin Rea",,7.5956,8.9675,9.3338,4.54708,32.68,22.68,0,0.6034,137.913,591.803,140.277,74.7555,69.6779,21.9895,40.6862,,5.5464,119.652,7.80833,2.65512,2.94085,1.435,0.202182,0.0687496,0.13343291729688644,0.25712,1.31216,0.292843,0.707213,0.422156,,4.59832,1.42719,1.3348,489.8299865722656,,,,"12317"
"Kyle Hendricks","CHC",8.4386,10.6813,11.304,4.77563,27.54,27.54,0,0,158.493,688.201,175.821,90.266,84.1003,25.1299,40.3575,,6.9708,110.693,6.2857,2.2917,2.74281,1.427,0.160844,0.058642,0.10220197588205338,0.274346,1.36396,0.298368,0.695662,0.425298,,4.81529,1.42353,1.26013,442.2200012207031,,,,"12049"
"Bryan Woo","SEA",7.7183,7.5544,9.1173,4.04786,32.06,21.06,0,0.6481,125.617,532.321,113.321,60.6387,56.4979,18.1307,42.068,,7.132,130.439,9.34549,3.01401,3.10068,1.299,0.245039,0.0790275,0.1660115048289299,0.23456,1.237,0.284531,0.728815,0.385571,,4.2296,1.41148,1.50277,183.14999389648438,,,,"30279"
"Cristian Javier","HOU",10.1417,9.8772,11.825,4.67983,29.16,29.16,0,0,165.041,710.771,151.822,90.5176,85.8182,29.524,64.3667,,7.5868,175.084,9.54768,3.51004,2.7201,1.61,0.24633,0.090559,0.15577086061239243,0.237662,1.30991,0.281658,0.718716,0.274703,,4.76681,1.40836,1.42644,172.75,,,,"17606"
"Logan Allen","CLE",8.6473,8.9505,11.3297,4.18711,25.92,25.92,0,0,143.098,613.364,137.491,71.797,66.574,20.5425,52.5181,,4.8867,134.129,8.43589,3.30308,2.55395,1.292,0.218677,0.0856231,0.1330539435148239,0.247304,1.32783,0.291433,0.7331,0.418335,,4.45009,1.40672,1.72477,341.0400085449219,,,,"27589"
"Clayton Kershaw","LAD",5.1132,3.7314,6.4359,3.80859,12.96,12.96,0,0,72.9722,306.348,69.2527,33.5148,30.8801,10.1837,19.7625,,2.3721,73.92,9.1169,2.4374,3.74042,1.256,0.241294,0.06451,0.17678424715995789,0.243664,1.21985,0.295183,0.7424,0.449304,,3.95327,1.37339,1.26598,477.5,,,,"2036"
"Garrett Crochet","CHW",6.6313,7.4945,7.5179,4.07196,46.2,16.2,0,0.5733,122.34,526.719,106.415,59.6276,55.3515,16.2168,59.7533,,5.3567,132.19,9.72465,4.39578,2.21227,1.193,0.250969,0.113444,0.13752514123916626,0.230531,1.35825,0.287988,0.742627,0.410348,,4.41385,1.34838,1.60244,427.42999267578125,,,,"27463"
"Nick Martinez","CIN",7.2423,8.6045,6.9781,4.71118,46.44,19.44,0,0.5863,133.862,587.377,138.21,75.4398,70.0718,20.3767,53.2134,,5.5096,120.254,8.08511,3.57773,2.25985,1.37,0.204731,0.090595,0.11413571983575821,0.261438,1.43001,0.303677,0.712011,0.47123,,4.75329,1.33633,1.40102,433.07000732421875,,,,"12730"
"Paul Blackburn","OAK",7.6751,10.1895,11.3427,4.39125,25.92,25.92,0,0,146.759,634.769,150.959,77.4863,71.606,19.258,49.293,,5.7034,118.197,7.24847,3.0229,2.39785,1.181,0.186205,0.077655,0.10855003446340561,0.260376,1.3645,0.297752,0.708438,0.459435,,4.47438,1.31383,1.45888,545.75,,,,"14739"
"Reynaldo López","ATL",7.9537,6.4972,6.7387,4.25601,51.2,16.2,0,0.645,125.316,538.624,116.552,63.4603,59.2608,17.7114,49.4012,,4.2875,133.163,9.56357,3.54791,2.69555,1.272,0.247229,0.0917174,0.1555112600326538,0.240345,1.32427,0.295875,0.726089,0.383887,,4.25241,1.31242,1.47215,362.6700134277344,,,,"16400"
"Max Meyer","MIA",6.0971,6.9184,7.788,4.31609,25.82,17.82,0,0.6211,108.4,468.04,108.134,56.2231,51.9851,13.4778,40.2153,,4.4015,97.4947,8.09454,3.33889,2.42432,1.119,0.208304,0.0859228,0.12238141149282455,0.255381,1.36853,0.302948,0.711507,0.462096,,4.30736,1.30537,1.36082,400.79998779296875,,,,"27474"
"Drew Thorpe","CHW",5.5395,6.7697,8.0959,4.2956,17.82,17.82,0,0,101.574,434.82,98.685,52.2958,48.4801,15.0894,36.0153,,3.5977,91.4705,8.10478,3.19115,2.53977,1.337,0.210364,0.0828281,0.12753597646951675,0.249705,1.32613,0.289612,0.72555,0.439964,,4.55518,1.2877,1.43098,999,,,,"sa3020678"
"Patrick Corbin","WSN",8.0477,12.1509,11.3126,4.90366,29.16,29.16,0,0,166.307,724.017,183.238,97.2001,90.6123,26.646,53.8205,,5.6727,118.938,6.43655,2.9126,2.2099,1.442,0.164275,0.074336,0.08993890136480331,0.275743,1.42543,0.301753,0.700153,0.445733,,4.98078,1.28042,1.32754,641.3900146484375,,,,"9323"
"Bryce Miller","SEA",8.5318,9.0831,10.9779,4.32134,25.92,25.92,0,0,143.288,609.995,141.568,73.5953,68.7995,23.1489,38.2461,,6.7917,129.753,8.14985,2.40226,3.39257,1.454,0.212711,0.062699,0.15001187473535538,0.250581,1.25491,0.287385,0.720588,0.37464,,4.48714,1.26863,1.3527,169.5800018310547,,,,"29837"
"Jakob Junis","MIL",6.7566,7.651,7.2792,4.4336,33.44,19.44,0,0.6034,118.221,506.066,118.389,62.4764,58.2382,18.6263,35.0397,,5.1654,109.626,8.34566,2.66753,3.12861,1.418,0.216623,0.0692394,0.14738374203443527,0.25413,1.29782,0.295498,0.714181,0.418744,,4.46893,1.26766,1.29428,543.8200073242188,,,,"13619"
"Edwin Díaz","NYM",3.7601,2.5093,0,2.78048,64,0,35.065,1.3862,64,259.846,43.896,21.5169,19.7723,6.13689,23.0961,,3.2426,95.4554,13.4234,3.24789,4.13297,0.863,0.367354,0.0888838,0.278469942510128,0.187986,1.04675,0.286238,0.778679,0.394789,,2.75324,1.26291,1.16464,42.86000061035156,,,,"14710"
"Wade Miley","MIL",7.6721,9.1224,10.439,4.53572,24.3,24.3,0,0,138.762,609.944,149.514,75.6478,69.9318,19.7505,47.0486,,5.3553,102.525,6.64971,3.05153,2.17914,1.281,0.16809,0.0771359,0.09095393121242523,0.268167,1.41654,0.298126,0.715845,0.455545,,4.76062,1.24793,1.41152,529.9199829101562,,,,"8779"
"Jordan Wicks","CHC",7.7698,8.5143,9.6475,4.36013,30.68,22.68,0,0.6263,134.749,583.563,136.814,70.5124,65.2806,18.9398,46.4976,,5.4271,113.203,7.5609,3.1056,2.4346,1.265,0.193986,0.0796788,0.11430712044239044,0.257344,1.36039,0.295058,0.719402,0.438746,,4.55809,1.24657,1.56703,436.7900085449219,,,,"30094"
"Martín Pérez","PIT",7.9748,10.1412,11.1254,4.72211,25.92,25.92,0,0,151.222,672.697,165.382,85.7547,79.3432,19.3733,58.3309,,6.4518,106,6.30861,3.47156,1.81722,1.153,0.157575,0.086712,0.07086311280727386,0.272048,1.47936,0.302583,0.701755,0.463065,,4.80375,1.2011,1.3428,576.780029296875,,,,"6902"
"Mason Miller","OAK",3.687,2.9771,0,2.95648,68,0,22.155,4.967,68,276.986,48.7976,24.144,22.3379,6.71689,25.9583,,2.8973,93.8461,12.4208,3.43566,3.61526,0.889,0.338812,0.093717,0.24509471654891968,0.196661,1.09935,0.285163,0.774448,0.359546,,3.05201,1.19929,1.22571,197.27999877929688,,,,"31757"
"Gavin Williams","CLE",7.5341,7.8858,9.8384,4.23933,22.68,22.68,0,0,125.55,538.148,114.532,63.4549,59.1386,18.2605,49.5446,,5.7824,129.887,9.31089,3.55158,2.62162,1.309,0.241359,0.092065,0.14929406344890594,0.237213,1.30686,0.287656,0.726447,0.392098,,4.39876,1.1911,1.56433,198.4199981689453,,,,"30122"
"Dean Kremer","BAL",10.0989,11.1643,13.212,4.54618,30.78,30.78,0,0,175.918,757.939,179.18,95.1658,88.8615,27.7364,56.515,,7.1064,151.361,7.74364,2.89132,2.67824,1.419,0.1997,0.074564,0.12513605505228043,0.258066,1.3398,0.29394,0.713839,0.39996,,4.66886,1.18916,1.48436,313.70001220703125,,,,"19350"
