Name,Team,W,L,QS,ERA,G,GS,SV,HLD,IP,TBF,H,R,ER,HR,BB,IBB,HBP,SO,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,GB%,HR/FB,FIP,WAR,RA9-WAR,ADP,InterSD,InterSK,IntraSD,PlayerId
"Taijuan Walker","PHI",8.70398,8.34568,8.8723,4.60777,26.5627,25.3017,0,0,141.758,607.527,139.227,78.8874,72.5764,19.2798,51.0074,0.864473,6.19425,111.817,7.09911,3.23838,2.19218,1.22405,0.184053,0.0839591,0.10009413212537766,0.252991,1.34197,0.286115,0.682095,,,4.65608,1.67505,1.38394,475.5,3.92672,0.472223,1.436,"11836"
"Trevor Rogers","MIA",6.63328,8.24331,6.70346,4.20948,27.9344,22.7252,0,0.362774,115.32,490.794,108.286,58.6276,53.9374,13.8267,40.7515,0.838809,7.32862,116.334,9.07912,3.1804,2.85471,1.07909,0.237032,0.0830318,0.1539999097585678,0.244596,1.29238,0.302218,0.697176,,,4.04692,1.67464,1.57476,321.6300048828125,4.37441,-1.56559,0.511345,"22286"
"Reese Olson","DET",6.99697,8.24278,8.30639,4.29614,24.3323,24.3323,0,0.00370109,131.173,553.935,120.578,68.0598,62.615,17.3505,48.4864,1.65883,4.47003,126.1,8.65197,3.32675,2.60073,1.19045,0.227644,0.0875309,0.14011313021183014,0.240685,1.28887,0.288726,0.697673,,,4.26307,1.67131,1.62113,286.82000732421875,3.99312,-3.44006,0.74215,"24968"
"Louie Varland","MIN",8.61345,7.79355,8.40511,4.14988,37.2986,23.1422,0,0.34438,142.128,595.615,137.936,71.2336,65.5349,20.3381,40.5267,1.77764,4.98108,137.507,8.70738,2.56628,3.393,1.28787,0.230865,0.0680417,0.16282375156879425,0.250744,1.25565,0.299795,0.714912,,,4.14089,1.66648,1.76272,282.32000732421875,2.1912,0.253009,0.756997,"27691"
"Cristian Javier","HOU",9.94413,7.4921,9.79847,4.30271,28.082,28.082,0,0.170912,156.172,651.881,130.591,81.1547,74.6623,25.5054,61.3363,0.609248,7.05605,165.692,9.54867,3.53474,2.70138,1.46985,0.254176,0.0940911,0.16008442640304565,0.223811,1.22895,0.267877,0.709082,,,4.57002,1.65645,1.83653,172.75,5.83785,0.282644,1.22678,"17606"
"Tanner Houck","BOS",8.41134,8.25304,7.79785,4.25444,28.9973,25.0176,0.017888,0.228795,133.493,572.05,128.237,68.5914,63.1041,16.2564,48.2934,2.2129,8.39109,124.881,8.4194,3.25591,2.58588,1.096,0.218304,0.0844216,0.13388258963823318,0.248826,1.32239,0.29923,0.701944,,,4.24105,1.65467,1.98948,367.2900085449219,2.15244,1.45464,0.988795,"19879"
"Jordan Hicks","SFG",5.81762,6.27242,5.10572,3.82358,34.8624,17.2181,0.091036,0.376471,100.72,432.345,86.7989,46.5112,42.7903,8.73553,47.2315,1.25597,6.03856,110.031,9.83194,4.22044,2.3296,0.780576,0.254497,0.109245,0.1452522799372673,0.228976,1.33072,0.299888,0.718545,,,3.78434,1.64988,1.666,320.07000732421875,4.03266,-0.931569,0.612092,"19618"
"Taj Bradley","TBR",6.72708,6.42336,5.94879,4.18059,29.6497,20.1273,0,0.204114,111.679,466.216,101.228,56.3871,51.8762,17.6647,37.4822,1.13098,3.63548,118.246,9.5292,3.02061,3.15473,1.42356,0.253629,0.0803967,0.17323271930217743,0.238129,1.24204,0.288959,0.722261,,,4.29822,1.58579,1.54821,316.3900146484375,5.10896,-1.42975,0.404338,"22543"
"Martín Pérez","PIT",7.81452,8.51468,9.94256,4.48772,26.1957,25.3698,0,0.155228,143.836,626.519,150.925,77.9586,71.7219,16.408,52.8706,1.08794,5.59767,102.534,6.41568,3.30817,1.93934,1.02666,0.163657,0.0843879,0.0792691558599472,0.26569,1.41686,0.299521,0.695907,,,4.53177,1.58337,1.68616,576.780029296875,4.77286,0.655642,1.65099,"6902"
"Michael Wacha","KCR",7.84991,7.11651,8.73741,4.43472,23.4298,23.4298,0,0,130.674,552.399,129.799,69.9883,64.3892,19.3803,39.212,0.439171,4.43287,110.446,7.60682,2.70067,2.81664,1.33479,0.199939,0.070985,0.12895411998033524,0.255131,1.29338,0.291397,0.697939,,,4.49466,1.57645,1.48071,290.5,5.7602,1.40506,0.898267,"14078"
"Kyle Bradish","BAL",6.99496,5.0747,7.63848,3.71039,17.6352,17.6352,0,0,100.242,416.52,90.1789,44.9199,41.3263,11.7408,31.3451,0.405225,4.29395,98.8349,8.87366,2.81424,3.15312,1.05412,0.237287,0.0752547,0.16203255951404572,0.236764,1.2123,0.290183,0.72896,,,3.87232,1.57314,1.82506,369.3999938964844,2.09993,0.429838,0.456531,"24586"
"Logan Allen","CLE",7.75369,7.93147,8.88821,4.13593,24.7108,24.7108,0,0,135.157,571.672,126.778,67.5121,62.1111,18.8752,49.1165,0.710384,3.82199,128.388,8.54926,3.27063,2.61395,1.25688,0.224583,0.0859173,0.13866594433784485,0.2444,1.30141,0.290476,0.725116,,,4.34575,1.57194,1.7145,341.0400085449219,2.89343,-1.35134,0.77578,"27589"
"Nick Martinez","CIN",6.40546,6.13781,5.52433,4.39578,36.8978,19.0185,1.60389,3.3048,122.651,528.248,120.505,65.1145,59.9054,16.9241,47.0958,1.09225,4.95847,112.975,8.28998,3.45583,2.39884,1.24187,0.213868,0.0891547,0.12471327185630798,0.253058,1.36648,0.299112,0.712169,,,4.47985,1.57062,1.64289,433.07000732421875,4.05862,0.269132,1.01325,"12730"
"Zack Littell","TBR",7.31763,6.59537,7.53199,4.36958,32.3902,21.6756,0.00400629,0.200749,130.602,548.405,132.071,68.9225,63.4087,19.0083,32.4311,1.76625,5.15566,107.994,7.44201,2.23488,3.32994,1.30989,0.196924,0.0591372,0.13778642565011978,0.258548,1.25956,0.294575,0.693156,,,4.35671,1.5353,1.47036,339.6499938964844,5.68512,0.676131,0.70364,"15823"
"Tyler Anderson","LAA",7.8749,8.23188,9.36385,4.73389,28.0787,27.2101,0,0,152.766,655.554,154.66,87.3401,80.3529,23.0163,51.6482,1.05384,6.22444,122.783,7.23362,3.04279,2.3773,1.35597,0.187297,0.0787856,0.10851139575242996,0.258768,1.35049,0.291325,0.68339,,,4.7427,1.51084,1.27109,578.0700073242188,4.43439,0.258477,1.71111,"12880"
"Kyle Hendricks","CHC",7.53296,8.22342,8.98793,4.58029,24.2539,24.2539,0,0,137.878,586.259,147.515,76.2708,70.1691,20.5702,33.2019,0.776497,5.69596,97.9964,6.39671,2.16726,2.95153,1.34272,0.167155,0.0566335,0.11052180826663971,0.269501,1.3107,0.29605,0.687513,,,4.61938,1.50823,1.33871,442.2200012207031,3.13677,0.127854,1.1008,"12049"
"Edward Cabrera","MIA",7.11956,7.78208,6.63874,4.0363,24.0465,22.8131,0,0,116.205,500.278,97.9237,56.6472,52.1155,13.3771,58.2425,0.428835,7.1162,126.212,9.775,4.51083,2.16701,1.03604,0.252284,0.11642,0.13586320728063583,0.225154,1.34388,0.286278,0.724099,,,4.26665,1.50657,1.87957,340.2099914550781,1.65537,0.415904,0.834417,"21690"
"Jack Flaherty","DET",7.62551,8.6116,8.56591,4.48965,26.009,25.7098,0,0.22109,136.983,596.651,133.126,74.2758,68.3337,17.0833,57.002,1.28063,9.27351,134.94,8.86582,3.74514,2.36729,1.12241,0.226163,0.0955366,0.13062624633312225,0.251004,1.38797,0.306706,0.697018,,,4.35759,1.49845,1.40919,336.82000732421875,3.95885,-0.591691,1.52085,"17479"
"A.J. Puk","MIA",6.24573,5.81772,3.9508,4.0137,36.591,12.9963,2.51847,1.90832,99.0293,416.896,91.2204,48.0041,44.1638,13.6071,32.6626,2.69228,5.82747,109.057,9.9113,2.96844,3.33889,1.23664,0.261592,0.0783471,0.183244988322258,0.241065,1.25097,0.303483,0.723807,,,4.00481,1.49725,1.40842,271.2900085449219,2.7385,0.919384,0.0944562,"19343"
"Colin Rea",,7.18287,7.77137,6.84888,4.63531,28.5809,23.8043,0,0.233599,131.549,554.903,127.968,73.6435,67.752,20.5391,40.559,0.717948,4.88505,113.346,7.75465,2.77487,2.79459,1.4052,0.204263,0.073092,0.13117051869630814,0.251184,1.2811,0.286039,0.678844,,,4.59788,1.48662,1.1777,489.8299865722656,4.26123,1.13756,1.09375,"12317"
"Reynaldo López","ATL",6.77392,5.24595,4.2457,3.98526,35.4079,14.3908,2.76054,1.69166,100.119,419.419,89.1582,48.1885,44.3334,13.3289,36.89,2.0037,3.02542,109.421,9.83617,3.31615,2.96614,1.19818,0.260887,0.087955,0.1729319617152214,0.234934,1.25898,0.295339,0.725034,,,3.99597,1.47954,1.55735,362.6700134277344,2.48214,0.548444,0.171835,"16400"
"Luis Severino","NYM",7.26478,7.92075,8.157,4.51816,23.847,23.847,0,0,127.667,542.793,123.36,69.6642,64.0911,19.4398,43.1123,0.858795,6.06806,120.734,8.51124,3.03924,2.80045,1.37043,0.222431,0.0794268,0.14300374686717987,0.249912,1.30396,0.294024,0.695177,,,4.49883,1.47278,1.2894,258.5,4.73044,0.148112,0.990134,"15890"
"Ryan Pepiot","TBR",8.23393,6.97162,7.27491,3.98648,32.3242,22.7712,0,0.242792,126.709,530.362,111.016,61.0053,56.1249,19.1835,42.7398,0.79734,7.49053,127.179,9.03338,3.03576,2.97566,1.36258,0.239797,0.0805861,0.1592104658484459,0.23122,1.21346,0.275138,0.730901,,,4.40506,1.45216,2.0328,187.75999450683594,6.5005,0.460521,0.476501,"26221"
"Bryan Woo","SEA",5.3379,5.60801,5.77015,3.92675,22.3953,18.2478,0,0.202173,98.6657,409.477,85.5406,46.7917,43.0484,13.5558,31.856,1.01165,5.95,105.716,9.64309,2.90581,3.31855,1.23652,0.258173,0.0777968,0.18037579953670502,0.230151,1.18984,0.285202,0.717395,,,4.04774,1.43966,1.40296,183.14999389648438,2.85505,0.545917,0.427414,"30279"
"Jakob Junis","MIL",4.82004,5.38687,3.38508,4.37914,28.4108,15.1206,0.203725,0.810372,96.5067,407.192,96.982,51.0407,46.9574,13.8409,25.9783,1.2933,4.36215,93.4507,8.715,2.42268,3.59726,1.29077,0.2295,0.0637987,0.1657017022371292,0.257348,1.27411,0.308433,0.694318,,,4.12598,1.43874,1.09148,543.8200073242188,2.42347,-1.03,0.281419,"13619"
"Edwin Díaz","NYM",3.47298,2.51967,0,2.6998,60.9628,0,34.1122,0.755672,62.441,249.819,43.3456,20.3597,18.7309,5.74351,21.6963,0.973482,3.69855,97.4581,14.0472,3.12722,4.49193,0.827847,0.390114,0.0868479,0.30326639115810394,0.193141,1.04165,0.31019,0.783885,,,2.54932,1.43353,1.40826,42.86000061035156,2.08887,0.512054,2.1527,"14710"
"Shane Baz","TBR",5.6492,4.58913,5.17392,3.7891,21.1822,16.9962,0,0.436942,88.9043,366.422,76.9541,40.6845,37.4297,12.8634,27.7034,0.568224,3.94218,96.6849,9.78765,2.80449,3.49,1.3022,0.263862,0.0756052,0.18825681507587433,0.229867,1.17719,0.284559,0.738304,,,4.02881,1.42537,1.62944,293.1199951171875,3.17466,0.262439,0.518444,"22264"
"Garrett Crochet","CHW",5.77668,7.63434,4.7634,4.12457,41.0025,18.8,0,0.793564,120.122,518.557,106.834,59.8371,55.0501,14.2033,57.6511,1.78462,5.71824,126.955,9.512,4.31945,2.20213,1.06416,0.244824,0.111176,0.13364845514297485,0.234704,1.36932,0.294976,0.723704,,,4.26101,1.38944,1.54194,427.42999267578125,4.65401,-0.525613,0.954353,"27463"
