Name,Team,W,L,QS,ERA,G,GS,SV,HLD,IP,TBF,H,R,ER,HR,BB,IBB,HBP,SO,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,GB%,HR/FB,FIP,WAR,RA9-WAR,ADP,InterSD,InterSK,IntraSD,PlayerId
"Quinn Priester","PIT",5,7,,4.67195,32,15,0,1,96,422,95,54,50,11,38,,6,80,7.52704,3.56885,2.10909,1.03821,0.190476,0.090312,0.10016420483589172,0.251376,1.38428,0.292978,0.67217,,,4.46629,1.03963,0.697182,711.1699829101562,,,,"25977"
"Giovanny Gallegos","STL",5,4,,3.65079,68,0,4,13,68,276,56,30,28,10,19,,2,80,10.6349,2.53968,4.1875,1.26984,0.291304,0.0695652,0.22173912823200226,0.221698,1.11111,0.284672,0.733591,,,3.67832,1.0248,0.967462,498.5,,,,"14986"
"Ryan Pressly","HOU",6,2,,3.35196,66,0,3,13,66,268,57,27,25,9,17,,0,76,10.3911,2.34637,4.42857,1.17318,0.284404,0.0642202,0.22018349915742874,0.22549,1.11732,0.288889,0.756972,,,3.42264,1.01843,1.22021,305.05999755859375,,,,"7005"
"Dakota Hudson","COL",7,11,,5.11954,29,23,0,1,133,594,149,82,75,18,51,,8,81,5.49052,3.48722,1.57447,1.18714,0.13628,0.0865562,0.04972375929355621,0.278119,1.50866,0.300752,0.672478,,,5.08521,1.0153,1.50338,748.75,,,,"19206"
"Daniel Lynch IV","KCR",4,6,,4.78125,24,16,0,1,86,380,90,49,46,12,32,,4,76,7.96875,3.375,2.36111,1.21875,0.2,0.0847059,0.11529412120580673,0.262338,1.42708,0.30662,0.690236,,,4.49462,0.977395,0.665425,723.3099975585938,,,,"21537"
"Jordan Hicks","SFG",9,9,,4.20968,51,21,0,1,114,501,96,57,53,13,64,,7,136,10.7419,5.08065,2.11429,1.01613,0.272059,0.128676,0.14338234066963196,0.223176,1.40323,0.296053,0.725389,,,4.22278,0.962057,1.12312,320.07000732421875,,,,"19618"
"Bryce Elder","ATL",6,4,,4.22321,37,16,0,1,109,469,107,55,51,13,41,,6,90,7.41915,3.36715,2.20339,1.08434,0.19174,0.0870207,0.10471975803375244,0.252046,1.35067,0.292208,0.713519,,,4.44718,0.961545,1.31272,491.2200012207031,,,,"27779"
"Jordan Romano","TOR",7,3,,3.37308,57,0,28,3,57,234,47,23,21,8,19,,3,70,11.0392,3.06644,3.6,1.22658,0.298755,0.0829876,0.21576761454343796,0.220183,1.15843,0.289855,0.774648,,,3.74908,0.946763,1.16173,82.83000183105469,,,,"16122"
"Matt Waldron","SDP",5,4,,4.48839,25,13,0,1,85,363,85,46,42,12,26,,4,70,7.42906,2.70851,2.74286,1.31556,0.192771,0.0702811,0.12248996645212173,0.253275,1.29837,0.286957,0.691824,,,4.53621,0.939384,0.61822,660.0399780273438,,,,"25550"
"Scott Barlow","CLE",4,4,,3.54545,64,0,2,13,64,268,51,27,25,8,24,,3,82,11.5909,3.40909,3.4,1.09091,0.307971,0.0905797,0.21739131957292557,0.21371,1.18182,0.290323,0.748503,,,3.52777,0.922386,1.0165,493.7799987792969,,,,"14993"
"Luis Gil","NYY",4,3,,4.29036,35,16,0,1,91,396,74,47,44,13,50,,3,113,11.1159,4.97291,2.23529,1.26761,0.285,0.1275,0.1574999988079071,0.216763,1.36511,0.283105,0.723562,,,4.37097,0.920224,0.733076,506.8500061035156,,,,"21052"
