Name,Team,W,L,QS,ERA,G,GS,SV,HLD,IP,TBF,H,R,ER,HR,BB,IBB,HBP,SO,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,GB%,HR/FB,FIP,WAR,RA9-WAR,ADP,InterSD,InterSK,IntraSD,PlayerId
"Josiah Gray","WSN",9,12,,4.87263,31,31,0,0,173,756,166,100,94,30,78,,8,162,8.4425,4.04374,2.0878,1.5476,0.214513,0.102746,0.11176668852567673,0.24839,1.41184,0.285915,0.710563,,,5.10796,1.39119,1.46439,383.6400146484375,,,,"24580"
"Clayton Kershaw","LAD",6,4,,3.64025,13,13,0,0,71,295,66,31,29,10,18,,2,72,9.08667,2.32355,3.91069,1.25788,0.244218,0.0624487,0.18176879733800888,0.240364,1.18377,0.290896,0.752692,,,3.90272,1.37996,1.45581,477.5,,,,"2036"
"Bryan Woo","SEA",7,7,,4.07765,32,21,0,1,117,494,105,57,53,16,37,,9,119,9.14921,2.83953,3.22208,1.23627,0.241222,0.0748651,0.1663564071059227,0.234165,1.21104,0.283914,0.710981,,,4.17741,1.37599,1.32506,183.14999389648438,,,,"30279"
"Reynaldo López","ATL",9,6,,3.98694,51,16,0,1,116,494,105,56,51,15,44,,4,126,9.74011,3.44114,2.83049,1.17715,0.254188,0.0898036,0.16438451409339905,0.236108,1.29011,0.295239,0.732487,,,4.02968,1.36597,1.44775,362.6700134277344,,,,"16400"
"Edward Cabrera","MIA",7,8,,4.27602,23,23,0,0,116,501,102,59,55,14,57,,7,123,9.56426,4.40501,2.17122,1.11472,0.245886,0.113248,0.13263797014951706,0.233442,1.37091,0.292581,0.717311,,,4.37775,1.35883,1.6734,340.2099914550781,,,,"21690"
"Michael Soroka","CHW",7,8,,4.55721,24,24,0,0,132,571,133,72,67,19,44,,9,111,7.60695,3.0103,2.52697,1.3079,0.194921,0.0771363,0.11778485029935837,0.256032,1.34095,0.292859,0.699796,,,4.66924,1.35865,1.37547,457.0199890136719,,,,"18383"
"Alex Wood","OAK",7,9,,4.33503,30,24,0,1,138,600,138,72,67,17,47,,11,119,7.71883,3.02729,2.54975,1.10558,0.198102,0.0776945,0.1204073503613472,0.254308,1.33123,0.297461,0.697796,,,4.3885,1.35557,1.3106,541.7999877929688,,,,"13781"
"Emmanuel Clase","CLE",5,3,,3.02097,66,0,34,2,66,268,57,24,22,6,18,,2,69,9.35215,2.41759,3.86838,0.7605,0.256307,0.0662569,0.190049946308136,0.230562,1.13599,0.296727,0.75404,,,3.15201,1.35367,1.68822,52.90999984741211,,,,"21032"
"Ross Stripling","OAK",6,8,,4.29582,35,23,0,1,136,577,140,70,65,20,36,,4,113,7.49413,2.38172,3.14652,1.30155,0.196288,0.0623826,0.13390547782182693,0.260269,1.2926,0.297192,0.714772,,,4.34728,1.34529,1.31065,548.8699951171875,,,,"13273"
"Jordan Hicks","SFG",9,9,,3.90162,51,21,0,1,130,563,112,61,56,13,68,,7,147,10.198,4.68919,2.1748,0.876602,0.261356,0.120175,0.14118095487356186,0.228666,1.38022,0.301473,0.73154,,,3.98933,1.3444,1.58019,320.07000732421875,,,,"19618"
"Andrew Heaney","TEX",8,8,,4.49188,37,24,0,1,137,589,131,73,68,23,49,,8,141,9.27846,3.2006,2.89898,1.48243,0.239569,0.0826393,0.1569300815463066,0.245888,1.31128,0.293933,0.71704,,,4.58465,1.34051,1.4661,373.6700134277344,,,,"15423"
"Tanner Scott","MIA",5,4,,3.21906,66,0,27,4,66,277,51,26,24,6,29,,4,89,12.1159,3.93233,3.08111,0.839764,0.320337,0.103968,0.2163691148161888,0.209641,1.21313,0.301765,0.760389,,,3.27554,1.33462,1.59423,104.87999725341797,,,,"17586"
"Trevor Megill","MIL",3,2,,3.47273,64,0,9,9,64,273,54,27,25,8,24,,2,85,12.0049,3.38811,3.54325,1.13733,0.312197,0.0881104,0.22408675402402878,0.217381,1.21597,0.296933,0.770878,,,3.46193,1.32887,1.15359,475.4100036621094,,,,"17722"
"Ryan Feltner","COL",6,8,,5.29291,23,23,0,0,115,510,122,72,68,19,48,,4,101,7.88266,3.78057,2.08505,1.45779,0.197787,0.09486,0.10292743891477585,0.26725,1.48105,0.306601,0.679998,,,4.98372,1.32326,1.32849,740.9600219726562,,,,"21446"
"Austin Gomber","COL",7,12,,5.50736,28,28,0,0,151,666,174,99,93,27,49,,5,107,6.37639,2.93011,2.17616,1.60693,0.161231,0.0740895,0.08714112639427185,0.284111,1.4729,0.307424,0.667476,,,5.2269,1.27679,1.35883,733.7899780273438,,,,"16561"
