Name,Team,G,PA,AB,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,BB%,K%,BB/K,OBP,SLG,wOBA,OPS,ISO,Spd,BABIP,UBR,wSB,wRC,wRAA,wRC+,BsR,Fld,Off,Def,WAR,ADP,InterSD,InterSK,IntraSD,PlayerId
"Juan Brito","CLE",15.054,45.5,40.5793,9.71302,6.48284,2.2133,0.179033,0.837852,4.92674,4.64394,3.9383,0.0980721,8.44638,0.372933,0.331137,0.278309,0.81166,0.635303,0.239738,0.239359,0.0865561,0.185635,0.466271,0.310122,0.364667,0.29646,0.674789,0.125308,4.2229,0.280627,,-0.0565416,4.7158,-0.828113,88.6374,-0.0565416,0,-0.6760121583938599,0.1671810746192932,0.103363,999,,,,"sa3009808"
"Tony Kemp","BAL",37.123,132.311,116.083,27.2452,20.3362,4.84079,0.553491,1.51473,14.3821,10.2035,12.4741,0.0908831,15.0417,1.93469,1.14221,0.677265,2.53319,4.06352,1.20524,0.234705,0.0942788,0.113685,0.829301,0.316439,0.325089,0.288076,0.641527,0.0903835,5.12917,0.255596,,0.0369835,12.792,-3.32935,83.0185,0.0369835,0.15,-2.655200246721506,-0.8048097193241119,0.103095,746.47998046875,,,,"14894"
"Brad Miller",,21.883,61.534,54.6206,11.5934,7.44215,2.16565,0.179837,1.80581,6.55507,6.78758,5.91831,0.10468,17.0478,0.373224,0.311862,0.0790161,1.07509,0.598732,0.211722,0.212254,0.0961795,0.277046,0.347161,0.292124,0.357671,0.285988,0.649795,0.145417,3.85983,0.271284,,-0.0746301,5.84244,-1.65512,82.0729,-0.0746301,0,-1.4412360563874245,0.361751914024353,0.101413,999,,,,"12775"
"Jonah Bride","MIA",17.162,60.965,53.6545,12.7312,8.95886,2.68167,0.146121,0.944573,6.1666,5.45947,5.57852,0.0422652,11.6066,1.15469,0.426748,0.150568,1.37356,0.345891,0.12424,0.237282,0.0915037,0.190382,0.480633,0.320063,0.345523,0.297096,0.665586,0.108241,3.15077,0.28381,,-0.103845,6.35083,-1.0774,83.8515,-0.103845,0.48,-1.3234808519482613,0.21515429019927979,0.0966034,999,,,,"24703"
"Joey Wendle","NYM",74.521,275.925,255.3,60.3714,42.6767,13.5837,1.32926,2.78167,28.9774,22.1698,13.6807,0.456399,58.1189,3.83392,1.82207,1.08546,5.76116,8.12621,2.60737,0.236472,0.0495813,0.210633,0.235392,0.283596,0.332779,0.270643,0.616376,0.0963072,5.63727,0.293493,,0.0644655,22.6819,-10.938,71.126,0.0644655,0.07,-9.805521950125694,1.3553113415837288,0.0947958,732.780029296875,,,,"13853"
"Drew Romo","COL",10.059,36.005,33.3748,8.448,5.70946,1.78906,0.228413,0.721064,3.96381,3.70018,1.9794,0.0760008,7.01842,0.264486,0.276975,0.109339,0.633787,0.680825,0.212487,0.253125,0.0549758,0.194929,0.28203,0.29786,0.385233,0.29548,0.683094,0.132108,5.20763,0.298196,,-0.0142172,3.70241,-0.684591,68.269,-0.0142172,0.37,-1.4295706553384662,1.1461573839187622,0.0940624,999,,,,"sa3014522"
"Graham Pauley","SDP",51.327,193.078,175.877,42.2595,26.805,9.24331,0.657564,5.55365,21.9998,21.8449,13.8763,0.437882,41.6628,1.9303,1.02917,0.365107,3.21876,3.6974,1.19732,0.240278,0.0718689,0.215782,0.333062,0.301309,0.395042,0.302004,0.696351,0.154764,4.65786,0.283028,,-0.0908329,20.9003,-2.62513,92.8098,-0.0908329,0,-1.8106862008571625,-3.841604232788086,0.0923324,999,,,,"31363"
"Wander Franco","TBR",2.71,11.643,10.4976,3.01929,1.93418,0.631304,0.103877,0.349926,1.63984,1.38859,0.96987,0.0461097,1.39366,0.0737247,0.0873533,0.0144502,0.200278,0.469456,0.157859,0.287617,0.0833007,0.1197,0.695915,0.349389,0.467548,0.34991,0.816936,0.17993,6.20738,0.301918,,0.0046735,1.72356,0.304928,128.154,0.0046735,0,0.3974367859773338,0.128339946269989,0.0918623,748.8499755859375,,,,"23667"
"Willie Calhoun","LAA",18.42,62.952,56.8272,13.0754,8.73206,2.50612,0.146671,1.69051,6.48537,6.67192,4.98274,0.142063,8.94666,0.551267,0.514367,0.0764436,1.24481,0.0811879,0.0254726,0.23009,0.0791514,0.142119,0.556939,0.295971,0.368597,0.29028,0.664568,0.138507,2.37463,0.243764,,-0.103341,6.20149,-1.46884,80.3271,-0.103341,0,-1.5872611552476883,0.3700881898403168,0.0918359,999,,,,"17838"
"Keston Hiura","DET",16.857,61.396,54.719,12.8502,7.63309,2.58192,0.174821,2.46032,7.36311,7.90027,4.72592,0.28875,19.3472,1.47055,0.362692,0.117885,0.922365,0.773269,0.286234,0.234839,0.0769744,0.315121,0.244269,0.310823,0.423303,0.316584,0.734126,0.188464,4.23947,0.312249,,-0.0704928,7.38942,-0.0913204,100.187,-0.0704928,0,-0.05671040900051594,-1.1279394626617432,0.089809,737.97998046875,,,,"20003"
"Liover Peguero","PIT",66.48,258.867,239.795,56.9424,39.4314,10.849,1.29436,5.36772,28.1361,24.1795,14.3456,0.500993,65.2257,1.5361,1.41398,1.77616,4.54465,8.21906,2.31802,0.237463,0.055417,0.251966,0.219938,0.283262,0.360655,0.279945,0.643917,0.123192,5.62322,0.302286,,0.243094,23.2794,-8.26205,71.4094,0.243094,-0.17,-8.925831139087677,1.0024867802858353,0.0893806,432.29998779296875,,,,"24273"
"DJ Stewart","NYM",35.62,133.207,116.338,24.1689,13.9306,4.66072,0.159247,5.41835,14.8839,16.0408,13.5476,0.276865,37.749,2.35061,0.697324,0.273131,2.17814,0.414913,0.149263,0.207747,0.101703,0.283386,0.358887,0.301407,0.390268,0.302596,0.691675,0.182522,2.51992,0.253837,,-0.207719,14.485,-1.74555,92.5468,-0.207719,-0.23,-1.4376776069402695,-2.2455348819494247,0.0852778,693.5499877929688,,,,"17766"
"Tyler Fitzgerald","SFG",24.407,91.775,84.2368,18.5563,11.7779,4.00992,0.47168,2.29675,10.0249,8.89246,5.54891,0.13872,28.4825,1.01438,0.557838,0.417061,1.19715,2.07111,0.569001,0.220287,0.0604622,0.310352,0.194818,0.274957,0.360885,0.276544,0.635842,0.140598,5.64281,0.301016,,0.0338074,7.99394,-3.18831,74.2749,0.0338074,0.19,-2.891022339463234,0.6109631359577179,0.0844353,748,,,,"26208"
"Diego A. Castillo","MIN",31.13,57.609,52.2239,12.0047,8.58537,2.36512,0.0953163,0.958865,5.61869,5.46449,4.49769,0.176182,11.1429,0.388976,0.38144,0.117019,1.15703,0.683872,0.234953,0.229869,0.0780727,0.193423,0.403637,0.293803,0.33389,0.277053,0.627693,0.10402,3.74972,0.272712,,-0.0648404,5.04228,-1.97704,75.3778,-0.0648404,0,-1.7644502818584442,0.635019838809967,0.0824894,999,,,,"19906"
"Jacob Young","WSN",16.713,63.525,57.936,14.0482,10.5855,2.63198,0.381115,0.449604,6.66066,4.34592,3.92563,0.157748,11.6045,0.72543,0.385232,0.552697,1.28939,2.65651,0.628212,0.242477,0.0617966,0.182677,0.338284,0.296944,0.324344,0.27483,0.621288,0.0818666,6.23316,0.293914,,0.149963,5.44284,-2.29732,68.9892,0.149963,0.86,-2.2905234545469284,0.9459722265601158,0.0817451,715.4000244140625,,,,"29931"
"Kevin Newman","ARI",21.39,73.342,67.4735,17.6495,13.3087,3.32277,0.334003,0.684018,7.85765,6.89227,4.17134,0.119713,10.3807,0.630214,0.558569,0.393767,1.586,1.53388,0.495456,0.261577,0.0568752,0.141538,0.401837,0.308252,0.351136,0.289492,0.659388,0.0895585,5.00699,0.297811,,-0.040965,7.17703,-1.75926,78.9779,-0.040965,0,-1.9510298185050488,0.26948121190071106,0.0814929,999,,,,"17696"
"Leo Jimenez","TOR",7.747,30.314,27.008,6.68297,4.74666,1.39691,0.0832461,0.456161,3.2363,2.83385,2.33196,0.038858,5.83125,0.729275,0.204238,0.0405417,0.641795,0.278156,0.102609,0.247444,0.0769268,0.192361,0.399908,0.321873,0.356001,0.300865,0.677874,0.108556,3.90908,0.29758,,-0.0475391,3.25277,-0.440812,90.9794,-0.0475391,0,-0.37519170716404915,0.15940329432487488,0.0811512,999,,,,"sa3006891"
"José Azocar","SDP",72.429,227.903,213.104,49.5172,36.2324,8.95305,1.54282,2.78896,25.3737,17.0806,10.2906,0.247097,57.396,1.68575,1.56592,1.25703,3.07587,10.9197,3.5078,0.232362,0.0451536,0.251844,0.179292,0.27132,0.328117,0.262081,0.599437,0.0957543,6.61832,0.302478,,0.333815,17.1137,-10.6549,66.0465,0.333815,3.4,-9.252525478601456,2.2822686433792114,0.0792229,717.5,,,,"18821"
