Name,Team,G,PA,AB,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,BB%,K%,BB/K,OBP,SLG,wOBA,OPS,ISO,Spd,BABIP,UBR,wSB,wRC,wRAA,wRC+,BsR,Fld,Off,Def,WAR,ADP,InterSD,InterSK,IntraSD,PlayerId
"Blaine Crim","TEX",1.62,6.5682,5.9273,1.3899,0.8987,0.2619,0.0251,0.2042,0.7347,0.7474,0.4716,0.0066,1.5482,0.0788,0.0493,0.0412,,0.0226,0.0091,0.234491,0.0718005,0.235711,0.304612,0.297273,0.390498,0.2988,0.687771,0.156007,3.47774,0.280692,-0.002,-0.0104356,0.693519,-0.106778,85.7348,-0.0124356,0,-0.12470370810478926,-0.13500000536441803,-0.00365146,999,,,,"sa3010170"
"Caleb Farmer","WSN",0.25,1,0.9216,0.1525,0.1071,0.0253,0.002,0.0181,0.0757,0.076,0.0536,0,0.3356,0.011,0.0075,0.0063,,0.0074,0.003,0.165473,0.0536,0.3356,0.159714,0.218476,0.256185,0.212021,0.474661,0.0907118,3.50812,0.233577,0,-0.0011092,0.0335168,-0.0883274,26.8828,-0.0011092,0,-0.09169034531805664,0.020999999716877937,-0.00365166,999,,,,"sa3020354"
"Mitch Jebb","PIT",0.25,1,0.9194,0.1852,0.1442,0.0297,0.0027,0.0086,0.0818,0.075,0.0548,0,0.1682,0.012,0.0075,0.0063,,0.016,0.0064,0.201436,0.0548,0.1682,0.325803,0.253598,0.267675,0.233994,0.521272,0.0662388,4.13252,0.235435,0,-0.00112708,0.0517659,-0.0700783,40.6049,-0.00112708,0,-0.07470863428898156,0.004000000189989805,-0.00365348,999,,,,"sa3022565"
"Kyle Nevin","LAD",0.25,1,0.9301,0.1751,0.1266,0.027,0.002,0.0195,0.0867,0.0883,0.0451,0,0.2819,0.011,0.0075,0.0063,,0.0096,0.004,0.188259,0.0451,0.2819,0.159986,0.232666,0.284486,0.228338,0.517151,0.0962262,3.862,0.244577,0,-0.00117604,0.0470683,-0.0747759,40.5862,-0.00117604,0,-0.07478083798196167,0.004000000189989805,-0.00366068,999,,,,"sa3019894"
"Anthony Hall","NYY",0.25,1,0.9043,0.1702,0.119,0.0267,0.0021,0.0224,0.0929,0.0909,0.0729,0.003,0.2908,0.009,0.0075,0.0063,,0.0086,0.0036,0.188212,0.0729,0.2908,0.250688,0.253698,0.296694,0.243862,0.550392,0.108482,3.62115,0.246909,0,-0.00132432,0.0599612,-0.061883,52.1351,-0.00132432,0,-0.05867648764979094,-0.012000000104308128,-0.00366083,999,,,,"sa3019987"
"Kevin Maitan",,0.25,1,0.9042,0.1871,0.1289,0.0374,0.0022,0.0186,0.0929,0.089,0.071,0,0.3219,0.011,0.0075,0.0063,,0.0057,0.0024,0.206923,0.071,0.3219,0.220565,0.270806,0.314864,0.260037,0.58567,0.107941,3.48943,0.294993,0,-0.001498,0.0733942,-0.04845,60.4164,-0.001498,0,-0.049731786362826824,-0.020999999716877937,-0.00366107,999,,,,"sa969045"
"Zach Zubia","MIA",0.25,1,0.8662,0.1626,0.114,0.0257,0.0017,0.0212,0.0936,0.0842,0.11,0,0.3284,0.01,0.0075,0.0063,,0.0048,0.002,0.187716,0.11,0.3284,0.334957,0.284392,0.294736,0.263195,0.579127,0.107019,2.95061,0.269796,0,-0.00168715,0.0760174,-0.0458268,61.1252,-0.00168715,0,-0.049847119371406734,-0.020999999716877937,-0.00366729,999,,,,"sa3016861"
"Peyton Graham","DET",0.25,1,0.9201,0.1671,0.1277,0.0269,0.0024,0.0101,0.0762,0.0704,0.0541,0,0.2612,0.012,0.0075,0.0063,,0.0161,0.0065,0.181611,0.0541,0.2612,0.207121,0.234678,0.248995,0.217897,0.483673,0.067384,4.17002,0.23922,0,-0.00101676,0.0383969,-0.0834473,31.7853,-0.00101676,0,-0.08275217737536877,0.012000000104308128,-0.00366838,999,,,,"sa3019990"
"Cristopher Navarro","COL",0.25,1,0.9243,0.2048,0.1477,0.0437,0.0049,0.0085,0.0874,0.0805,0.0529,0,0.2334,0.009,0.0075,0.0063,,0.0084,0.0035,0.221573,0.0529,0.2334,0.22665,0.268391,0.307043,0.254375,0.575434,0.0854701,4.06669,0.284534,0,-0.00141227,0.0686922,-0.0531519,40.7127,-0.00141227,0,-0.07486035139299929,0.004000000189989805,-0.00366861,999,,,,"sa917065"
"Jake Vogel","LAD",0.25,1,0.9153,0.1717,0.1265,0.0323,0.002,0.0109,0.0851,0.0769,0.0589,0,0.2913,0.012,0.0075,0.0063,,0.0182,0.0072,0.187589,0.0589,0.2913,0.202197,0.244138,0.262974,0.227933,0.507112,0.0753851,4.43725,0.259104,0,-0.000919953,0.0467323,-0.0751119,40.3149,-0.000919953,0,-0.07486079633235931,0.004000000189989805,-0.00366865,999,,,,"sa3014473"
