Name,Team,G,PA,AB,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,BB%,K%,BB/K,OBP,SLG,wOBA,OPS,ISO,Spd,BABIP,UBR,wSB,wRC,wRAA,wRC+,BsR,Fld,Off,Def,WAR,ADP,InterSD,InterSK,IntraSD,PlayerId
"Luis Liberato","ATL",3.559,9.575,8.67536,1.78231,1.15652,0.393159,0.0365616,0.196071,1.02715,0.864279,0.746919,0.0113365,2.81047,0.0333527,0.0609358,0.0584367,0.153313,0.166415,0.0374815,0.205445,0.0780072,0.293522,0.265763,0.269276,0.326996,0.262601,0.596272,0.121551,5.16507,0.276843,,0.00262698,0.72314,-0.443518,59.7649,0.00262698,0,-0.47464130143634975,-0.10554452985525131,-0.0253245,999,,,,"17307"
"Jonathan Araúz","LAD",20.895,54.263,49.1772,10.1922,6.57716,2.09814,0.17829,1.33858,5.63353,5.61392,4.10858,0.0575269,13.0704,0.307765,0.369747,0.299686,0.939095,0.220297,0.0766432,0.207254,0.0757161,0.240871,0.314342,0.270712,0.338828,0.267487,0.60954,0.131574,3.43431,0.251966,,-0.072553,4.31834,-2.29329,66.831,-0.072553,0,-2.3022950515151024,0.19937904179096222,-0.025344,999,,,,"20275"
"Jose Miranda","MIN",33.873,133.222,122.463,30.4622,20.4635,6.38561,0.226401,3.38667,13.7926,14.7725,7.82445,0.115801,22.44,1.82518,0.960774,0.148368,2.90379,0.36064,0.172733,0.248746,0.0587324,0.16844,0.348684,0.301426,0.38755,0.299598,0.688976,0.138804,2.68807,0.277421,,-0.231912,14.1549,-2.07744,89.9981,-0.231912,0.01,-1.8284967541694641,-2.952145090326667,-0.0255101,640.489990234375,,,,"20538"
"Travis Blankenhorn","WSN",13.759,40.652,36.7165,8.09764,5.03572,1.76886,0.106058,1.187,4.07991,4.45934,3.03313,0.0873433,11.1309,0.5421,0.288422,0.0718344,0.7373,0.190971,0.0740384,0.220545,0.0746121,0.273808,0.272497,0.28765,0.371484,0.287287,0.659134,0.150939,3.25684,0.279929,,-0.0587312,3.90362,-1.04959,77.3398,-0.0587312,0,-1.1999392285943031,-0.44810405373573303,-0.0262273,999,,,,"18395"
"Brennen Davis","CHC",8.583,25.187,22.7188,4.87621,3.18053,1.03075,0.0622851,0.602646,2.59299,2.56284,1.78668,0.0120991,7.2969,0.465741,0.153245,0.0625424,0.393435,0.404016,0.0850282,0.214633,0.0709365,0.289709,0.244854,0.283733,0.345065,0.277452,0.628798,0.130432,4.68286,0.285428,,0.00314638,2.21288,-0.856011,72.0972,0.00314638,0,-0.8675020653754473,-0.27763447165489197,-0.0286196,999,,,,"sa3007876"
"Canaan Smith-Njigba","PIT",11.319,37.86,33.8978,7.71946,5.19862,1.706,0.0912489,0.723589,4.06741,3.46923,3.43646,0.112856,11.0421,0.255595,0.1843,0.0858281,0.696313,1.12595,0.183774,0.227727,0.0907676,0.291656,0.311215,0.302099,0.347478,0.286809,0.649576,0.11975,5.27399,0.313486,,0.0799884,3.6205,-0.992516,76.011,0.0799884,-0.01,-1.0451613292098045,-0.5340277645736933,-0.0288469,750.1500244140625,,,,"23264"
"David Dahl","PHI",5.443,17.399,16.0378,3.64877,2.38668,0.819131,0.0721681,0.370798,1.69101,1.85098,1.09581,0.0166404,4.16945,0.12022,0.117155,0.0280015,0.311007,0.0824645,0.0271493,0.227511,0.0629813,0.239637,0.26282,0.280053,0.356946,0.277726,0.636999,0.129435,3.60563,0.282226,,-0.0225973,1.53259,-0.587378,70.7885,-0.0225973,0.02,-0.6522426623851061,-0.2319907359778881,-0.029062,999,,,,"13744"
"Kyle McCann","OAK",7.885,27.72,25.189,4.55213,2.88967,0.949574,0.0528477,0.660045,2.22426,2.49471,2.0153,0.0177577,10.7452,0.323133,0.118781,0.0738192,0.450836,0.0559734,0.0152274,0.180719,0.0727019,0.387634,0.187553,0.249241,0.301225,0.244736,0.550466,0.120505,2.42568,0.279956,,-0.0353788,1.68224,-1.69528,55.3178,-0.0353788,-0.33,-1.5194692388176918,0.2784104645252228,-0.0298717,999,,,,"25575"
"Símon Muzziotti","PHI",10.882,33.167,30.544,7.43845,5.3502,1.51107,0.197857,0.379326,3.6495,2.81352,2.09392,0.104847,6.66291,0.152683,0.182455,0.1939,0.561966,1.27968,0.234066,0.243532,0.0631325,0.20089,0.314265,0.293726,0.343216,0.278896,0.636942,0.0996844,6.27108,0.298051,,0.0994158,2.95375,-1.08746,71.5732,0.0994158,0,-1.0686113759875298,-0.3655974268913269,-0.0303339,999,,,,"19553"
"TJ Hopkins","DET",17.444,35.861,32.6575,7.36826,4.96769,1.46082,0.171789,0.767959,3.60257,3.52118,2.54637,0.0680667,10.3652,0.334944,0.211235,0.110988,0.666381,0.253102,0.064375,0.225623,0.0710066,0.289037,0.245666,0.286701,0.351422,0.279623,0.638123,0.125799,3.98415,0.303663,,-0.0365039,3.21532,-1.15413,74.569,-0.0365039,0,-1.129248559474945,-0.3952932059764862,-0.0305675,999,,,,"25482"
"Darin Ruf",,14.766,52.513,45.7425,10.2655,6.39707,2.12479,0.0655676,1.67812,5.96055,5.94346,5.75981,0.00638086,14.2971,0.607421,0.336649,0.0665867,0.952359,0.178465,0.0856495,0.22442,0.109684,0.272257,0.402867,0.317139,0.383797,0.308909,0.700935,0.159376,2.53204,0.285259,,-0.0987592,5.98557,-0.412835,93.7257,-0.0987592,0,-0.500242106616497,-1.595092535018921,-0.0308105,999,,,,"9929"
"Everson Pereira","NYY",17.108,59.071,54.2614,12.1269,7.85181,2.43749,0.225667,1.61198,6.72483,5.97495,3.8982,0.0758353,19.0482,0.531553,0.307422,0.0724283,0.882347,1.27138,0.407624,0.223491,0.0659918,0.322462,0.20465,0.280629,0.365853,0.281584,0.646482,0.142362,5.25005,0.310097,,-0.0118191,5.39253,-1.80493,78.2806,-0.0118191,0.02,-1.5491057457402349,-0.7720370106399059,-0.0313936,746.5499877929688,,,,"23695"
"Aaron Schunk","COL",6.643,26.272,24.4063,5.81831,3.84946,1.32494,0.111551,0.532355,2.72424,2.64446,1.46385,0.104733,7.01055,0.208886,0.164635,0.0283548,0.393297,0.41331,0.100452,0.238394,0.0557192,0.266845,0.208807,0.285443,0.367259,0.282513,0.652702,0.128865,4.8352,0.310428,,-0.00147875,2.41862,-0.782472,59.5757,-0.00147875,0,-1.3171716483775526,0.10251542925834656,-0.0318658,999,,,,"sa3009957"
"Jose Barrero","TEX",24.229,88.765,81.6747,16.2678,10.1688,3.51,0.239715,2.34931,9.5544,8.46446,5.08799,0.0420151,30.8933,1.35275,0.46002,0.189539,0.983005,2.40092,0.912405,0.199178,0.0573198,0.348034,0.164696,0.256375,0.334316,0.258861,0.590691,0.135138,5.42926,0.284677,,-0.0325771,6.42817,-4.38733,58.0523,-0.0325771,0.03,-4.494096837937832,1.1517129223793745,-0.03266,750.3200073242188,,,,"23378"
"Michael Siani","STL",28.184,66.504,59.9109,12.3953,8.78159,2.25861,0.276785,1.07827,7.1084,5.18011,5.40619,0.117662,16.0018,0.577711,0.351603,0.257635,1.11783,2.73383,0.328138,0.206895,0.0812913,0.240614,0.337849,0.277437,0.307828,0.260918,0.585265,0.100933,6.28269,0.262074,,0.295403,4.92969,-3.17344,62.3854,0.295403,0.27,-2.803605020046234,0.20786596089601517,-0.0328994,750.469970703125,,,,"22557"
"Trey Cabbage","HOU",5.271,17.57,16.0874,3.24903,1.95456,0.707994,0.0819293,0.504544,2.03646,1.74652,1.19043,0.0465515,6.81055,0.167621,0.0866084,0.0379455,0.199015,0.466782,0.122368,0.201961,0.0677538,0.387624,0.174793,0.262781,0.350244,0.266676,0.613025,0.148283,6.09604,0.3098,,0.0165422,1.38642,-0.754384,66.7393,0.0165422,0,-0.6836797893047333,-0.244027778506279,-0.0330016,729.260009765625,,,,"21078"
"Tony Kemp","BAL",37.123,132.311,116.374,26.5879,20.4648,4.68756,0.497598,0.937907,13.7791,9.28503,12.1745,0.0290145,15.2636,1.93559,1.14964,0.677702,2.53228,3.9267,1.40603,0.22847,0.0920142,0.115361,0.797616,0.309177,0.301481,0.276654,0.610658,0.0730104,5.0267,0.253154,,-0.0742925,11.5368,-4.5845,75.1014,-0.0742925,0.15,-4.021625138819218,-0.8048097193241119,-0.0331618,746.47998046875,,,,"14894"
"Tyler Wade","SDP",34.566,104.984,94.7848,20.8157,15.6964,3.82049,0.429146,0.869714,12.1171,6.0262,7.67242,0.212346,26.5245,0.985437,0.502786,1.03854,1.53052,7.7553,1.43262,0.21961,0.0730818,0.252652,0.289258,0.283549,0.296499,0.259585,0.580048,0.0768891,7.13567,0.293784,,0.760366,7.66585,-5.12584,64.3732,0.760366,0.08,-3.873234748840332,-0.04309830814599991,-0.0338535,717.1500244140625,,,,"15730"
"Peyton Burdick","BAL",10.925,29.774,26.6051,5.1727,3.12431,1.09688,0.0859948,0.865519,3.12685,3.07169,2.48799,0.0202937,11.1617,0.495215,0.159415,0.0262708,0.376487,0.411526,0.126437,0.194425,0.0835626,0.37488,0.222905,0.274169,0.339714,0.271395,0.613883,0.145289,4.72554,0.292263,,-0.017964,2.4661,-1.16169,71.4564,-0.017964,0,-1.0362699460238218,-0.32819664478302,-0.035221,999,,,,"25459"
