Name,Team,G,PA,AB,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,BB%,K%,BB/K,OBP,SLG,wOBA,OPS,ISO,Spd,BABIP,UBR,wSB,wRC,wRAA,wRC+,BsR,Fld,Off,Def,WAR,ADP,InterSD,InterSK,IntraSD,PlayerId
"Alek Thomas","ARI",124.877,480.833,441.253,114.032,75.8017,23.222,4.57674,10.4315,59.0423,52.0797,29.8086,0.952185,94.8519,4.31665,3.76866,1.68545,8.38494,9.65339,2.93759,0.258427,0.0619937,0.197266,0.314265,0.30921,0.402721,0.307577,0.711931,0.144294,5.94788,0.304942,0.397653,-0.148875,54.2746,-4.31204,91.1014,0.248777,3.24051,-5.051932603120804,5.16762900352478,1.64512,349.3699951171875,2.66263,-0.402343,0.594854,"23792"
"Tyler O'Neill","BOS",120.614,491.822,436.186,109.253,65.278,21.3615,1.16004,21.4531,66.5219,64.0794,45.933,0.237245,133.154,5.55824,3.75894,0.385862,7.23775,12.3082,3.44601,0.250472,0.0933936,0.270735,0.344963,0.32709,0.452315,0.335562,0.779405,0.201843,5.01102,0.307703,0.0726779,0.109262,66.9462,7.0205,107.448,0.18194,0.348387,4.571228250861168,-4.858636796474457,1.63707,217.6199951171875,3.60784,-0.674851,0.297008,"15711"
"Salvador Perez","KCR",131.836,539.481,503.725,128.178,81.0511,22.1421,0.605957,24.3791,60.5014,80.9669,21.3746,2.87073,127.362,9.41001,4.76817,0.202417,9.21201,0.189406,0.294808,0.254461,0.0396206,0.236082,0.167825,0.29477,0.446016,0.31429,0.740785,0.191555,1.80366,0.290956,-1.28023,-0.926139,63.9023,-1.83025,97.3932,-2.20637,-1.78296,-3.91999888420105,1.9548674821853638,1.63403,134.19000244140625,1.57067,-0.0641788,0.816895,"7304"
"Wyatt Langford","TEX",127.362,547.706,482.28,124.41,76.279,26.0985,2.65884,19.3737,69.4763,69.206,54.778,1.24179,119.952,6.25102,3.24833,1.1483,7.77196,14.6654,4.33483,0.257962,0.100014,0.219007,0.456668,0.339285,0.443616,0.338468,0.782902,0.185654,5.12156,0.303395,-0.586137,0.055036,75.8745,9.13971,113.229,-0.531101,0.314789,8.150818347930908,-10.42666581273079,1.62806,999,5.92032,-0.0335771,0.237364,"33333"
"Patrick Bailey","SFG",105.293,406.446,366.964,83.5324,55.346,17.8625,0.956544,9.36739,39.9411,44.7227,31.9687,0.404141,107.769,3.34042,2.44599,1.72711,7.03489,1.74135,0.725029,0.227631,0.0786542,0.26515,0.29664,0.293639,0.358101,0.286228,0.65174,0.13047,2.89321,0.293987,-0.157414,-0.653144,38.6719,-10.8512,78.2676,-0.810558,5.90069,-11.573905169963837,14.025118350982666,1.62315,365.8299865722656,2.92628,1.25209,0.419945,"27478"
"Rhys Hoskins","MIL",137.068,584.811,504.737,119.311,64.028,26.7314,1.45656,27.0946,75.0911,79.4862,69.358,0.402415,146.003,6.48869,3.68799,0.53884,7.8211,2.29264,1.29368,0.236381,0.118599,0.249659,0.475044,0.334018,0.456156,0.340893,0.790174,0.219774,3.07304,0.275003,-0.848711,-1.16216,82.1927,10.9369,113.435,-2.01087,-0.183023,7.7229413986206055,-11.410133361816406,1.61916,188.25,4.01665,-0.792228,0.989358,"16472"
"Tommy Edman","STL",102.255,418.439,381.785,99.3211,66.6294,20.5113,2.78977,9.39066,55.8903,40.8486,27.7529,0.754994,68.1304,4.71979,2.52192,1.659,6.29846,20.6678,4.24046,0.260149,0.0663248,0.162821,0.407349,0.316219,0.402278,0.311821,0.718497,0.142129,6.74931,0.293137,0.432701,1.58598,48.7067,-2.27768,95.7103,2.01868,0.578671,-0.16854286193847656,2.049703896045685,1.60698,239,2.59525,0.933953,1.21389,"19470"
"Alec Bohm","PHI",140.996,594.248,542.591,147.666,102.45,27.8582,1.21569,16.1426,70.2687,75.8365,40.287,0.692466,102.103,4.9581,5.90331,0.508039,14.1624,3.80563,1.63843,0.27215,0.0677949,0.171819,0.394572,0.324909,0.417227,0.321183,0.742136,0.145077,3.27914,0.305692,-0.506894,-1.06309,73.7917,1.38609,99.9219,-1.56999,-2.65437,-1.627495028078556,-2.5554669350385666,1.60179,165.25999450683594,1.72602,0.535647,0.664828,"21618"
"Spencer Steer","CIN",137.494,581.93,514.186,131.064,79.1948,29.6915,2.13434,20.0433,71.3885,74.2529,54.7318,0.460308,125.245,9.03029,3.56567,0.415746,8.49386,9.54081,2.73152,0.254896,0.0940523,0.215224,0.436997,0.335033,0.437885,0.335016,0.772917,0.182989,4.40804,0.298071,-0.418373,-0.342708,78.9476,8.04284,104.613,-0.76108,-0.429765,2.564607620239258,-6.4329626858234406,1.59131,111.33000183105469,3.02589,0.866299,0.210849,"26323"
"Ryan McMahon","COL",142.501,595.382,525.84,128.684,78.7873,26.1653,2.12182,21.6094,74.1077,71.8374,61.6872,1.30873,171.696,3.68313,3.75014,0.422231,10.5944,6.12604,2.77928,0.24472,0.103609,0.288379,0.359282,0.326163,0.425835,0.325787,0.751998,0.181114,4.08981,0.318404,-0.0232428,-1.04853,76.2088,3.6649,88.5857,-1.07177,2.6213,-9.490843057632446,4.820384979248047,1.55703,224.8699951171875,2.68829,1.29971,0.488163,"15112"
