Name,Team,G,PA,AB,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,BB%,K%,BB/K,OBP,SLG,wOBA,OPS,ISO,Spd,BABIP,UBR,wSB,wRC,wRAA,wRC+,BsR,Fld,Off,Def,WAR,ADP,InterSD,InterSK,IntraSD,PlayerId
"Nathan Lukes","TOR",16,70,63,17,11,4,0,1,8,7,5,0,13,1,0,0,,1,0,0.261962,0.0735025,0.180393,0.407459,0.32291,0.379721,0.306848,0.702631,0.117759,4.07124,0.310068,-0.00458378,-0.121263,7.85901,-0.670083,95.1263,-0.125847,0.331,-0.5346272587776184,-0.01900002360343933,0.181874,999,,,,"18123"
"Jake McCarthy","ARI",13,56,50,13,9,2,1,1,7,6,4,0,12,1,0,0,,3,1,0.260784,0.0748174,0.207483,0.360595,0.325234,0.398912,0.316166,0.724146,0.138128,7.61648,0.318111,0.0571603,0.188423,6.72054,-0.102737,96.8594,0.245583,0.20762,0.02770194411277771,-0.19237971305847168,0.173834,494.3299865722656,,,,"21622"
"Roberto Pérez","BOS",13,51,45,9,6,1,0,2,5,5,5,0,17,0,0,0,,0,0,0.208771,0.103114,0.323126,0.319115,0.296826,0.346859,0.286175,0.643686,0.138089,2.65063,0.289608,-0.0877137,-0.133129,4.86922,-1.3692,73.2166,-0.220842,0.591632,-1.8639609664678574,1.5916322469711304,0.170198,999,,,,"2900"
"Miles Mastrobuoni","CHC",13,56,49,13,9,2,0,1,7,5,6,0,12,0,0,0,,2,0,0.256397,0.102717,0.220928,0.464933,0.333809,0.364081,0.309721,0.69789,0.107684,5.93268,0.326336,0.00992571,0.0405226,6.42082,-0.402458,93.7297,0.0504483,-0.0223407,-0.3845551460981369,0.1776593029499054,0.169624,748.8200073242188,,,,"20017"
"Addison Barger","TOR",13,56,50,12,8,3,0,2,7,7,5,0,14,1,0,0,,0,0,0.240195,0.0858248,0.249688,0.343728,0.311603,0.396903,0.308107,0.708506,0.156708,3.47245,0.298984,-0.00220736,-0.119359,6.34574,-0.477529,95.9987,-0.121566,0.2835,-0.3900531083345413,0.1835000067949295,0.169067,999,,,,"sa3006910"
"Mickey Moniak","LAA",110,476,444,105,62,19,5,18,53,60,22,2,148,5,3,2,,7,3,0.235511,0.0464215,0.311721,0.14892,0.276681,0.423413,0.29719,0.700094,0.187902,5.57866,0.307255,0.10397,-0.637182,49.623,-8.37486,85.1163,-0.533212,-1.36292,-9.022096931934357,-5.462922930717468,0.167733,418.3299865722656,,,,"19956"
"Lenyn Sosa","CHW",23,98,92,22,15,4,0,3,10,12,4,0,22,1,1,1,,0,0,0.243015,0.0448286,0.226518,0.197903,0.280395,0.395128,0.290145,0.675524,0.152113,2.77048,0.284926,-0.00981143,-0.250667,9.64313,-2.2976,81.1521,-0.260478,0.413532,-2.4736839532852173,0.8135322332382202,0.166366,748.77001953125,,,,"22896"
"Cristian Pache","PHI",50,217,194,44,30,9,1,5,24,22,19,0,60,1,1,2,,4,2,0.228088,0.0873759,0.275926,0.316665,0.299582,0.359423,0.290488,0.659005,0.131335,4.91174,0.303325,-0.0340374,-0.538861,21.4145,-5.0257,79.3444,-0.572898,2.18471,-6.125753462314606,0.3597099781036377,0.162262,745.0900268554688,,,,"19948"
"Joey Wiemer","MIL",29,126,113,25,15,6,0,4,15,15,11,0,35,1,1,0,,3,1,0.224774,0.0842441,0.280091,0.300774,0.297556,0.392432,0.299971,0.689989,0.167658,4.86406,0.284636,-0.0291092,0.00178943,13.4265,-1.92583,86.0018,-0.0273197,0.775456,-2.2123656906187534,-0.4745436906814575,0.160142,590.8300170898438,,,,"27690"
"Jon Singleton","HOU",49,210,178,38,22,8,1,7,24,24,29,1,60,1,2,1,,1,0,0.213143,0.138644,0.285348,0.485878,0.323634,0.387951,0.312969,0.711585,0.174808,2.82527,0.271784,-0.1313,-0.43663,24.6446,-0.942713,98.8262,-0.56793,0.0328313,-0.8632872700691223,-4.6671685464680195,0.159756,747.9600219726562,,,,"10441"
"Joshua Palacios","PIT",16,70,63,17,11,3,0,2,8,9,5,0,14,1,0,0,,2,1,0.260929,0.0695741,0.193968,0.358689,0.322456,0.409339,0.318824,0.731795,0.14841,4.94882,0.302246,-0.000565323,-0.0586311,8.5552,0.0261091,97.4732,-0.0591965,0.122,-0.2783157229423523,-0.5279999822378159,0.157415,713.8800048828125,,,,"19818"
"Jason Delay","PIT",16,64,58,13,9,3,0,1,6,5,4,0,16,1,0,1,,0,0,0.225193,0.0640428,0.256673,0.249511,0.283186,0.325987,0.269675,0.609173,0.100794,3.85878,0.298709,-0.0313251,-0.124222,5.20951,-2.58852,64.5244,-0.155548,0.0172987,-2.968276411294937,1.2672987394034863,0.150179,749.4400024414062,,,,"19806"
"Garrett Hampson","KCR",41,175,157,38,27,7,1,2,20,15,14,0,42,1,1,1,,5,1,0.243629,0.0788171,0.24155,0.326297,0.308605,0.351078,0.291612,0.659683,0.107449,5.87421,0.316098,0.127189,0.191262,17.4331,-3.88962,78.9869,0.318451,-0.678581,-4.087718099355698,-0.35358065366744995,0.149824,651.9299926757812,,,,"19262"
"Garrett Cooper","CHC",58,252,227,56,36,11,1,8,26,32,20,0,70,3,2,1,,0,0,0.248531,0.080512,0.278604,0.288984,0.316767,0.410567,0.316456,0.727334,0.162036,2.26907,0.321828,-0.525666,-0.589073,30.3031,-0.40161,98.2445,-1.11474,-0.291653,-1.6628002524375916,-5.441652864217758,0.147708,623.1699829101562,,,,"15279"
"Niko Goodrum","TBR",11,49,42,9,6,2,0,1,6,5,6,0,15,0,0,0,,1,0,0.210579,0.130171,0.299185,0.435084,0.317039,0.332796,0.291102,0.649835,0.122217,4.80588,0.294468,0.0241792,-0.0472463,4.86052,-1.10984,87.393,-0.023067,0.291963,-0.7632512915879488,0.5669625103473663,0.146382,749.6599731445312,,,,"12092"
"Robbie Grossman","CHW",31,133,113,26,16,5,0,4,15,13,17,0,34,1,1,0,,2,1,0.225387,0.125541,0.253677,0.494887,0.328972,0.369977,0.310332,0.698949,0.144589,3.70704,0.285162,-0.0553767,-0.172248,15.3169,-0.888409,95.1439,-0.227624,-0.390947,-1.00150366127491,-2.1159472465515137,0.139587,745.8499755859375,,,,"5254"
"Myles Straw","CLE",13,56,50,12,10,2,0,0,6,4,5,0,10,0,0,0,,2,1,0.248238,0.087952,0.176533,0.498219,0.316238,0.319084,0.284913,0.635322,0.0708465,5.76404,0.301732,0.0709415,0.0993452,5.26704,-1.55624,80.6341,0.170287,0.414923,-1.129157930612564,0.6149230748414993,0.138386,657.2100219726562,,,,"17620"
"Oliver Dunn","MIL",16,70,61,13,8,3,0,2,8,7,8,0,24,1,0,0,,1,0,0.210375,0.115617,0.337049,0.343028,0.307156,0.359459,0.294759,0.666615,0.149084,5.25517,0.308807,-0.00898182,-0.082353,7.15621,-1.37288,82.5081,-0.0913348,0.335172,-1.6082246378064156,0.5851724147796631,0.135802,999,,,,"26295"
"Aledmys Díaz","OAK",34,147,135,32,21,8,0,3,14,14,8,1,28,2,1,0,,1,0,0.239507,0.054489,0.18763,0.290407,0.292105,0.367312,0.286226,0.659417,0.127806,2.43933,0.277708,-0.195877,-0.284409,13.9862,-3.92485,84.0753,-0.480286,-1.47657,-3.2852069437503815,-0.3515735864639282,0.135217,744.6799926757812,,,,"15937"
"Miguel Vargas","LAD",11,49,43,11,7,2,0,1,6,6,5,0,10,0,0,0,,1,0,0.247896,0.102674,0.203427,0.50472,0.33101,0.411677,0.323542,0.742687,0.163781,4.68501,0.289,0.00161493,-0.0493203,6.18066,0.210294,104.41,-0.0477054,-0.280931,0.21997014060616493,-0.5559306740760803,0.132972,547.1900024414062,,,,"20178"
"Jace Peterson","ARI",28,119,104,24,17,4,1,2,13,11,13,0,29,1,1,1,,3,1,0.23378,0.105269,0.240304,0.438067,0.319897,0.352662,0.297858,0.672559,0.118882,6.01571,0.300116,0.0838901,0.1681,12.4718,-2.02765,84.5863,0.25199,-0.186656,-2.0203404128551483,-0.7116560786962509,0.131864,734.5999755859375,,,,"12325"
"Kyle Lewis",,13,56,50,12,8,2,0,2,7,7,5,0,15,0,0,0,,0,0,0.244734,0.0966191,0.272972,0.353952,0.321957,0.407968,0.318645,0.729925,0.163233,2.50668,0.309583,-0.0119632,-0.122218,6.83585,0.0125767,100.362,-0.134181,0.0265,-0.10949809849262238,-0.5735000241547823,0.121852,999,,,,"19508"
"Hanser Alberto",,29,126,119,31,22,7,1,2,14,13,4,0,17,1,1,1,,1,1,0.261343,0.0296581,0.135884,0.21826,0.289191,0.382701,0.290382,0.671892,0.121358,3.99512,0.288302,0.036195,-0.252106,12.4231,-2.92928,81.0984,-0.215911,-0.4,-3.1179549545049667,0.04999998211860657,0.12148,999,,,,"11902"
"Hoy Park","OAK",13,56,48,11,7,2,0,1,6,5,7,0,15,0,0,0,,1,0,0.219105,0.119353,0.260167,0.458755,0.317994,0.328141,0.290396,0.646135,0.109036,4.88575,0.291224,-0.00887864,-0.00476215,5.52205,-1.30122,86.9659,-0.0136408,0.0740429,-0.8882229113951325,0.17404285818338394,0.118448,749.8400268554688,,,,"18027"
"Sam Huff","TEX",8,33,29,7,4,1,0,2,4,5,3,0,10,0,0,0,,0,0,0.233312,0.0793528,0.316754,0.250519,0.299336,0.429238,0.312905,0.728574,0.195926,2.08349,0.300888,-0.00284956,-0.0708642,3.82402,-0.148098,95.5111,-0.0737138,-0.0070711,-0.24905931949615479,0.3179288902319968,0.117788,707.6400146484375,,,,"22209"
"Sam Haggerty","SEA",16,70,62,15,10,3,0,1,9,7,6,0,16,1,0,0,,4,1,0.23798,0.086224,0.227422,0.379136,0.313051,0.364947,0.298361,0.677997,0.126966,6.74988,0.297239,0.00680331,0.341663,7.36561,-1.16348,92.1294,0.348466,-0.342571,-0.3116760849952698,-0.8925714194774628,0.116995,999,,,,"18054"
"Romy Gonzalez","BOS",15,63,58,14,9,3,0,2,8,8,4,0,20,0,0,0,,2,1,0.237727,0.0597081,0.317848,0.187851,0.287753,0.402051,0.296692,0.689804,0.164324,6.54616,0.325385,0.0131767,0.149624,6.54173,-1.13446,80.5066,0.162801,0.200676,-1.3087003529071808,0.32567647099494934,0.115347,999,,,,"21562"
"Jacob Amaya","HOU",11,49,43,10,7,2,0,1,6,4,5,0,11,0,0,0,,0,0,0.233165,0.09484,0.215071,0.44097,0.308991,0.354774,0.293644,0.663765,0.121609,4.11732,0.283471,0.0005405,-0.0683869,4.96394,-1.00643,81.5373,-0.0678464,0.150837,-1.1885988339781761,0.6758371889591217,0.115342,750.6199951171875,,,,"23296"
