Rk.,Player,Year,Pitches,Total,Pitch %,PA,Glove/Arm-Side Movement (in),Vertical Movement w/o Gravity (in),wOBA,xwOBA,BABIP,Whiff%,Pitch (MPH),Perceived Velocity,Spin (RPM),Vertical Release Pt (ft),Horizontal Release Pt (ft),Extension (ft),xWOBA/Average xWOBA of Year
6,"Gore, MacKenzie LHP",2023,1464,2462,59.5,338,4.3 ARM,17.4,0.37,0.377,0.317,21.6,95,96.2,2286,6.01,1.58,7.1,1.08127651
2,"Finnegan, Kyle RHP",2023,774,1106,70,212,11.1 ARM,15,0.342,0.355,0.305,21.2,97.3,98,2036,5.71,-1.66,6.7,1.018178146
48,"Detmers, Reid LHP",2023,1123,2599,43.2,252,11.0 ARM,15.7,0.377,0.382,0.327,21.2,94.3,93.7,2095,5.99,1.41,6,1.095617047
55,"Flaherty, Jack RHP",2023,1097,2634,41.6,265,2.3 ARM,13.4,0.357,0.335,0.392,20.8,93.1,94.3,2306,5.43,-2.48,6.8,0.9608159968
47,"Cease, Dylan RHP",2023,1408,3262,43.2,330,3.2 ARM,18.8,0.357,0.34,0.332,20.5,95.6,95.6,2519,6.27,-1.31,6.3,0.975156534
4,"Steele, Justin LHP",2023,1676,2678,62.6,429,1.3 GLV,10.8,0.318,0.327,0.331,20.3,91.8,88.9,2402,6.08,2.02,6.3,0.9378711371
53,"Giolito, Lucas RHP",2023,1338,3190,41.9,325,5.5 ARM,18.1,0.375,0.369,0.296,20,93.1,94.1,2173,6.33,-1.19,6.9,1.05833165
27,"Abbott, Andrew LHP",2023,949,1897,50,241,7.8 ARM,16.3,0.348,0.36,0.308,19.8,92.7,93.6,2207,5.76,1.62,6.7,1.032518683
30,"Snell, Blake LHP",2023,1541,3168,48.6,344,4.6 ARM,18.8,0.354,0.402,0.307,19.5,95.5,96.2,2430,6.62,2.08,6.9,1.152979196
35,"Luzardo, Jesús LHP",2023,1367,2988,45.7,348,14.1 ARM,14,0.301,0.351,0.272,19.4,96.7,95.4,2240,5.85,2.34,5.7,1.006705716
60,"Anderson, Tyler LHP",2023,907,2431,37.3,239,4.9 ARM,18.7,0.42,0.401,0.304,19.3,90.1,89.9,2218,6.38,1.62,6.2,1.150111089
29,"Gallen, Zac RHP",2023,1601,3248,49.3,405,2.9 ARM,17,0.286,0.326,0.295,19.2,93.6,94,2296,5.97,-2.72,6.6,0.9350030297
40,"Bradley, Taj RHP",2023,818,1821,44.9,226,4.9 ARM,18.9,0.387,0.367,0.311,19.1,96.1,96.1,2292,6.13,-1.38,6.4,1.052595435
32,"Bibee, Tanner RHP",2023,1095,2326,47.1,284,4.6 ARM,16.5,0.309,0.348,0.291,19,94.9,95.3,2301,6.42,-1.92,6.6,0.9981013937
56,"Wentz, Joey LHP",2023,803,1930,41.6,204,12.1 ARM,15.4,0.475,0.437,0.415,19,93.4,93.4,2222,6.16,1.15,6.4,1.253362957
71,"Mikolas, Miles RHP",2023,831,3197,26,201,5.6 ARM,15.1,0.35,0.338,0.331,18.9,93.3,93.5,2275,6.56,-2.09,6.4,0.9694203191
17,"Seabold, Connor RHP",2023,850,1562,54.4,221,9.4 ARM,13.1,0.419,0.367,0.369,18.6,92.6,92.5,2096,5.65,-2.38,6.1,1.052595435
15,"Megill, Tylor RHP",2023,1245,2235,55.7,304,7.8 ARM,14.7,0.391,0.407,0.343,18.4,94.9,96.6,2126,6.02,-1.59,7.3,1.167319733
59,"Oviedo, Johan RHP",2023,1169,2980,39.2,305,9.8 ARM,10.2,0.367,0.372,0.297,18.3,95.8,97.3,2269,5.57,-2.49,7,1.066935973
61,"Eovaldi, Nathan RHP",2023,831,2232,37.2,228,12.5 ARM,13.7,0.323,0.344,0.286,18.3,95.1,95.9,2168,5.41,-2.46,6.9,0.9866289638
26,"Verlander, Justin RHP",2023,1302,2602,50,334,8.0 ARM,18.8,0.309,0.337,0.251,18.1,94.3,93.5,2428,7.03,-1.37,6,0.9665522117
52,"Gray, Jon RHP",2023,1014,2393,42.4,287,10.0 ARM,13,0.421,0.397,0.396,17.9,95.7,96.2,2010,5.47,-1.97,6.6,1.138638659
19,"Waldichuk, Ken LHP",2023,1387,2553,54.3,346,10.2 ARM,15.2,0.38,0.365,0.291,17.8,93.3,94.4,2300,5.53,2.46,7,1.04685922
38,"Allen, Logan LHP",2023,963,2134,45.1,254,4.1 ARM,16.1,0.353,0.361,0.265,17.7,91.4,91.9,2150,5.24,2.24,6.5,1.035386791
54,"Gilbert, Logan RHP",2023,1223,2922,41.9,312,6.1 ARM,17,0.349,0.353,0.3,17.7,95.7,98,2000,6.19,-1.04,7.5,1.012441931
45,"Weaver, Luke RHP",2023,984,2258,43.6,249,7.5 ARM,16,0.395,0.372,0.35,17.5,94,93.2,2395,5.78,-1.27,5.8,1.066935973
63,"Senga, Kodai RHP",2023,1033,2795,37,244,8.0 ARM,16.6,0.322,0.349,0.303,17.3,95.7,95.8,2283,5.9,-1.96,6.5,1.000969501
23,"Gausman, Kevin RHP",2023,1561,3069,50.9,411,10.6 ARM,16.9,0.307,0.346,0.307,17.2,94.7,94.8,2278,5.79,-2.37,6.5,0.9923651788
31,"Clevinger, Mike RHP",2023,1001,2100,47.7,279,7.2 ARM,17.4,0.362,0.335,0.323,16.9,94.3,95.1,2267,5.74,-1.64,6.8,0.9608159968
16,"Nelson, Ryne RHP",2023,1285,2355,54.6,354,4.1 ARM,18.1,0.384,0.385,0.32,16.7,94.4,95,2210,6.04,-1.05,6.7,1.104221369
50,"Williams, Trevor RHP",2023,1133,2622,43.2,331,6.4 ARM,11.3,0.38,0.368,0.296,16.7,89.7,90.5,2204,5.04,-2.34,6.7,1.055463543
21,"Muller, Kyle LHP",2023,751,1454,51.7,201,5.6 ARM,13.2,0.481,0.461,0.417,15.9,93.5,94.1,2410,6.04,1.77,6.5,1.322197536
67,"Lyles, Jordan RHP",2023,859,2817,30.5,233,6.1 ARM,16.3,0.317,0.344,0.214,15.5,91.2,92.3,2250,5.94,-1.59,6.9,0.9866289638
3,"Pallante, Andre RHP",2023,757,1139,66.5,217,2.8 ARM,8.9,0.302,0.302,0.28,14,96.1,94.7,2236,5.96,-1.99,6.5,0.8661684508
57,"Medina, Luis RHP",2023,808,1945,41.5,215,5.9 ARM,16.4,0.376,0.374,0.28,12.1,96.1,96.2,2324,6.26,-2.46,6.4,1.072672187
43,"Gomber, Austin LHP",2023,949,2160,43.9,241,7.1 ARM,17.1,0.45,0.438,0.33,11.8,90.6,91.4,2170,6.67,1.54,6.6,1.256231064
51,"France, J.P. RHP",2023,949,2202,43.1,250,1.5 ARM,15.5,0.382,0.418,0.315,10.6,93,92.9,2426,5.63,-1.48,6.2,1.198868915
41,"Lauer, Eric LHP",2022,1176,2676,43.9,268,9.8 ARM,16.9,0.283,0.271,0.255,29.8,93.3,92.8,2289,5.96,1.48,6.2,0.8163343233
20,"Cole, Gerrit RHP",2022,1698,3274,51.9,399,10.4 ARM,18.3,0.308,0.299,0.3,28.9,97.8,97.8,2428,5.78,-1.79,6.5,0.900678829
45,"Wheeler, Zack RHP",2022,998,2358,42.3,241,9.2 ARM,16.2,0.277,0.297,0.284,28.7,95.9,97.6,2392,5.56,-1.57,7.3,0.8946542215
53,"Woodruff, Brandon RHP",2022,977,2538,38.5,276,6.0 ARM,17.5,0.286,0.288,0.25,28.4,96.3,96.5,2350,5.89,-1.23,6.6,0.8675434875
15,"Greene, Hunter RHP",2022,1182,2200,53.7,283,11.7 ARM,16,0.374,0.36,0.318,28.3,98.9,98.8,2368,6,-2.36,6.4,1.084429359
6,"Rodón, Carlos LHP",2022,1826,2985,61.2,443,6.0 ARM,18.1,0.284,0.277,0.29,27.9,95.5,95.4,2349,6.57,1.85,6.2,0.834408146
19,"Mahle, Tyler RHP",2022,1093,2101,52,271,10.2 ARM,18.1,0.29,0.27,0.269,27.9,93.2,93.6,2293,5.62,-1.84,6.6,0.8133220195
2,"Strider, Spencer RHP",2022,1525,2277,67,357,5.1 ARM,17.7,0.261,0.28,0.297,27.7,98.2,99.2,2343,5.72,-2.06,6.9,0.8434450573
7,"Javier, Cristian RHP",2022,1535,2554,60.1,370,7.4 ARM,19,0.277,0.273,0.235,27.3,93.8,93.1,2354,5.65,-1.62,6,0.8223589309
38,"Kirby, George RHP",2022,950,2092,45.4,237,8.8 ARM,14.9,0.259,0.266,0.298,26.4,95.3,95.9,2179,5.88,-1.41,6.6,0.8012728044
58,"Manoah, Alek RHP",2022,1057,2949,35.8,264,5.5 ARM,16.9,0.278,0.312,0.259,26.1,93.9,94.3,2369,5.94,-2.32,6.7,0.9398387781
1,"Finnegan, Kyle RHP",2022,829,1053,78.7,207,11.6 ARM,15.3,0.281,0.271,0.276,25.9,97,97.5,2069,5.7,-1.72,6.6,0.8163343233
8,"Ryan, Joe RHP",2022,1438,2391,60.1,355,10.7 ARM,14.8,0.262,0.3,0.218,25.8,92,92.1,2194,5,-2.43,6.4,0.9036911328
50,"Ray, Robbie LHP",2022,1197,3047,39.3,327,6.7 ARM,18.1,0.307,0.289,0.279,25.8,93.4,93.2,2282,6.14,2.51,6.5,0.8705557913
5,"Kopech, Michael RHP",2022,1241,2011,61.7,292,9.9 ARM,18.7,0.296,0.314,0.22,25.6,94.9,95.1,2529,5.87,-2.09,6.7,0.9458633857
42,"Cortes, Nestor LHP",2022,1080,2465,43.8,274,4.1 ARM,19.8,0.202,0.24,0.21,25.3,91.8,90.9,2270,5.84,1,5.8,0.7229529062
65,"Nola, Aaron RHP",2022,1015,3039,33.4,225,13.1 ARM,15.4,0.269,0.28,0.244,24.2,92.8,93.5,2308,5.09,-1.94,7,0.8434450573
59,"McClanahan, Shane LHP",2022,877,2463,35.6,220,10.8 ARM,17.7,0.332,0.322,0.268,24.1,96.7,97.4,2233,6.3,0.75,6.8,0.9699618159
21,"Manaea, Sean LHP",2022,1277,2482,51.5,334,12.5 ARM,12.9,0.31,0.311,0.269,23.9,91.3,92.6,2001,5.27,2.97,7.2,0.9368264743
14,"Gilbert, Logan RHP",2022,1626,3015,53.9,418,6.4 ARM,17.8,0.333,0.339,0.309,23.7,96.1,98.1,2135,6.06,-1.02,7.4,1.02117098
51,"López, Pablo RHP",2022,1131,2910,38.9,290,4.5 ARM,13.3,0.324,0.316,0.324,23.4,93.5,94.5,2196,5.44,-2.11,6.9,0.9518879932
55,"Irvin, Cole LHP",2022,979,2610,37.5,260,9.9 ARM,16.2,0.283,0.299,0.272,23.4,90.7,90.8,1976,6.2,1.37,6.4,0.900678829
68,"Kelly, Merrill RHP",2022,945,3071,30.8,244,7.9 ARM,15.3,0.298,0.281,0.26,23.3,92.6,92.1,2360,5.48,-1.72,6.2,0.8464573611
47,"Cease, Dylan RHP",2022,1241,3120,39.8,268,3.0 ARM,18.9,0.337,0.32,0.287,23.2,96.8,96.3,2507,6.4,-1.33,6.1,0.9639372083
37,"Scherzer, Max RHP",2022,983,2167,45.4,232,11.1 ARM,16.2,0.28,0.332,0.227,23,94,93.3,2387,5.65,-3.21,6.2,1.000084854
27,"Urías, Julio LHP",2022,1291,2622,49.2,336,3.0 ARM,16.6,0.278,0.284,0.213,22.9,93.1,92.3,2521,5.94,1.64,5.7,0.8554942724
31,"Hearn, Taylor LHP",2022,858,1787,48,203,7.7 ARM,16.8,0.316,0.323,0.243,22.9,94.8,94.6,2321,6.3,2.59,6.4,0.9729741197
57,"Quintana, Jose LHP",2022,981,2724,36,262,2.4 ARM,15.2,0.258,0.281,0.267,22.9,91.2,91.5,2077,5.8,2.26,6.5,0.8464573611
17,"Rogers, Trevor LHP",2022,1023,1940,52.7,247,12.6 ARM,14.2,0.411,0.401,0.373,22.8,94.6,94.7,2423,5.74,2.49,6.6,1.207933814
61,"Taillon, Jameson RHP",2022,996,2805,35.5,240,5.7 ARM,17.7,0.338,0.345,0.325,22.7,94.1,94.6,2370,6.07,-1.41,6.6,1.039244803
11,"Snell, Blake LHP",2022,1300,2341,55.5,287,5.2 ARM,18.8,0.339,0.327,0.322,22.4,95.8,96.4,2434,6.6,2.09,6.8,0.9850233348
22,"Odorizzi, Jake RHP",2022,920,1798,51.2,232,9.8 ARM,17.4,0.337,0.344,0.306,22.2,92.1,91.7,2144,5.95,-1.03,6.1,1.036232499
40,"Detmers, Reid LHP",2022,961,2181,44.1,229,10.1 ARM,16.9,0.327,0.358,0.253,22.2,93.2,92.1,2102,5.99,1.92,5.8,1.078404752
4,"Burke, Brock LHP",2022,839,1330,63.1,214,10.3 ARM,16.4,0.285,0.291,0.259,21.6,95,96,2280,6.22,1.67,7,0.8765803988
71,"Mikolas, Miles RHP",2022,860,3152,27.3,217,4.9 ARM,14.9,0.27,0.29,0.275,21.6,93.5,93.7,2292,6.59,-2.01,6.4,0.8735680951
34,"Giolito, Lucas RHP",2022,1313,2753,47.7,320,5.4 ARM,18,0.349,0.336,0.337,21.3,92.6,93.5,2172,6.36,-1.39,6.9,1.012134069
23,"Pivetta, Nick RHP",2022,1572,3082,51,384,5.1 ARM,20.6,0.34,0.356,0.268,21.1,93.4,94,2310,6.6,-1.44,6.8,1.072380144
