"last_name, first_name","player_id","year","woba","xwoba","n_ff_formatted","ff_avg_speed","ff_avg_spin","ff_avg_break_x","ff_avg_break_z","ff_avg_break","n_sl_formatted","sl_avg_speed","sl_avg_spin","sl_avg_break_x","sl_avg_break_z","sl_avg_break","n_ch_formatted","ch_avg_speed","ch_avg_spin","ch_avg_break_x","ch_avg_break_z","ch_avg_break","n_cu_formatted","cu_avg_speed","cu_avg_spin","cu_avg_break_x","cu_avg_break_z","cu_avg_break","n_si_formatted","si_avg_speed","si_avg_spin","si_avg_break_x","si_avg_break_z","si_avg_break","n_fc_formatted","fc_avg_speed","fc_avg_spin","fc_avg_break_x","fc_avg_break_z","fc_avg_break","n_fs_formatted","fs_avg_speed","fs_avg_spin","fs_avg_break_x","fs_avg_break_z","fs_avg_break","n_st_formatted","st_avg_speed","st_avg_spin","st_avg_break_x","st_avg_break_z","st_avg_break"
"Anderson, Tyler","542881","2021",".319",".315","37.3","90.6","2291","9.1","-15.2","20.5","0.9","80","2458","-3.2","-38.5","5.7","24.6","80.9","1835","12.9","-28.2","19","0.7","73.7","2426","-5.9","-56.1","9.6","10.3","88.9","2260","18.3","-27.8","20.2","26.2","85.2","2489","-2.1","-27.5","10.4",,,,,,,,,,,,
"Cole, Gerrit","543037","2021",".276",".274","47.1","97.7","2452","-12","-10.9","21.7","22.2","88.4","2600","5.3","-34.4","6","14.2","89.8","1719","-15.8","-24","18.9","15.7","83.4","2800","10.5","-51.6","16.1","0.8","97.7","2375","-16.8","-14.3","22.3",,,,,,,,,,,,,,,,,,
"DeSclafani, Anthony","543101","2021",".276",".304","27.1","94.1","2265","-9.6","-14.6","19","35.7","87.9","2198","4.1","-30.5","6.8","10.5","88.2","1583","-15.7","-30.1","16.6","8.1","83","1964","6.3","-46","9.1","18.6","94","2092","-15.6","-19.7","19.2",,,,,,,,,,,,,,,,,,
"Eovaldi, Nathan","543135","2021",".298",".283","42.3","96.8","2113","-12.2","-14.9","18.9","13.8","85.8","2156","6","-35.1","6.8",,,,,,,"18.8","78.5","2086","9.9","-55","14.6",,,,,,,"12.5","92.5","2281","0.5","-20.3","11.8","12.7","87.9","1536","-11","-33.6","11.4",,,,,,
"Gray, Sonny","543243","2021",".300",".279","23.8","92.3","2423","-1.8","-16.6","15.6","4.8","83.6","2597","5.6","-42.7","7.1","3.3","88.2","1830","-12.4","-25.8","15.8","23.2","79.3","2749","14.1","-57.8","19.8","29.1","92.4","2319","-13.2","-22.4","16.4","0.5","86.6","2451","5.5","-35.2","6.3",,,,,,,"15.3","82","2612","17.3","-46.6","18.4"
"Hendricks, Kyle","543294","2021",".345",".338","17.8","87.3","1942","-6.9","-20.4","17",,,,,,,"27.7","80","2008","-13.2","-32","17.4","11.7","73.2","2844","14.9","-63.4","19.1","42.8","87.3","1828","-13.7","-26.5","16.7",,,,,,,,,,,,,,,,,,
"Lyles, Jordan","543475","2021",".354",".351","39.4","93","2278","-7","-13.6","19.5","9.2","84.9","2705","5.9","-37.6","6.5","7.3","86.4","1595","-13.7","-27.4","16.9","18.2","80.3","2619","6.9","-57.4","16.3","9","91.6","2200","-13.4","-20.2","18.3","2.8","86.3","2541","5.6","-35","6.3",,,,,,,"14.2","82.3","2638","12.9","-40.1","13.4"
"Ryu, Hyun Jin","547943","2021",".313",".322","35.2","89.9","1944","11.9","-20.9","17.8","0.5","79.8","2059","-3.1","-42.1","5.2","25.4","79.9","1511","14","-36.2","15.9","12.6","73.9","2512","-11.7","-64.2","18","0.8","89.3","1910","19.6","-24.4","22.4","25.5","86.3","1997","0.4","-28.2","9",,,,,,,,,,,,
"Wheeler, Zack","554430","2021",".257",".258","42.4","97.2","2388","-7.6","-13.1","17.8",,,,,,,"3.7","90.5","1571","-13.9","-23.6","17.2","10.7","81.5","2638","9.8","-52.9","15.3","18.3","96.7","2199","-15.7","-17.9","19.5","25","91.5","2391","2.3","-26.6","7",,,,,,,,,,,,
"Corbin, Patrick","571578","2021",".362",".358","28.3","92.3","2148","8.1","-17.1","17.2","38.4","80.7","2216","-3.5","-41.5","4.2","4.2","81.5","1619","10.4","-28.3","16.9","1","65.2","1782","-3.7","-65.7","4.7","28.1","92.6","2096","14.1","-19.3","19",,,,,,,,,,,,,,,,,,
"Heaney, Andrew","571760","2021",".341",".318","59.4","92","2443","15.3","-17.4","21.7","0.6","78.6","2463","-4.6","-47.5","6","18","83.8","2035","17.2","-31.6","19","22","79.4","2574","-7.1","-46.7","8.2",,,,,,,,,,,,,,,,,,,,,,,,
"Matz, Steven","571927","2021",".315",".310",,,,,,,"8.1","88.9","2079","1","-28.9","6.5","23.4","85.1","2260","15.9","-34.6","16.4","16.6","77.6","2336","-13.3","-54.8","16.3","51.9","94.5","2184","15","-18.4","19.6",,,,,,,,,,,,,,,,,,
"Richards, Garrett","572070","2021",".356",".357","53","94.3","2468","1.3","-22","9.1","27.4","88.1","2745","3.1","-37.3","4.2","6.9","90.6","1695","-15.4","-28","16.5","12.2","78.3","3140","11","-65","22.3","0.6","95.6","2472","-7.3","-19.3","13.1",,,,,,,,,,,,,,,,,,
"Keuchel, Dallas","572971","2021",".356",".372","2.1","89","2210","5.2","-19.7","15.6","7","77.8","2374","-6.8","-44.5","7.6","28.6","79.6","1630","14.7","-37.9","15.8",,,,,,,"37.9","87.8","1985","14.7","-30.1","15.7","24.4","85.1","2213","-1.7","-29.6","8.5",,,,,,,,,,,,
"Stroman, Marcus","573186","2021",".284",".318","2.6","92.6","2438","-4.3","-18.6","14.2","1.6","87.2","2643","4.1","-38.7","5.3",,,,,,,"0.4","74.9","2514","16.5","-51","17","42","91.9","2284","-9.8","-27.9","11","15.4","89.9","2585","1.9","-28.2","6.3","16.1","86.1","1634","-12.1","-35.2","12.7",,,,,,
"Kikuchi, Yusei","579328","2021",".325",".346","35.7","95.1","2213","10.2","-14","19.4","18.9","82.5","2404","-2.6","-43","4.6","10.5","86.2","1452","10.6","-31.2","12.3",,,,,,,,,,,,,"34.9","91.3","2301","0","-23.1","9.7",,,,,,,,,,,,
