Season,Name,Team,Age,IP,FA% (sc),FT% (sc),FC% (sc),FS% (sc),FO% (sc),SI% (sc),SL% (sc),CU% (sc),KC% (sc),EP% (sc),CH% (sc),SC% (sc),KN% (sc),UN% (sc),vFA (sc),vFT (sc),vFC (sc),vFS (sc),vFO (sc),vSI (sc),vSL (sc),vCU (sc),vKC (sc),vEP (sc),vCH (sc),vSC (sc),vKN (sc),FA-X (sc),FT-X (sc),FC-X (sc),FS-X (sc),FO-X (sc),SI-X (sc),SL-X (sc),CU-X (sc),KC-X (sc),EP-X (sc),CH-X (sc),SC-X (sc),KN-X (sc),FA-Z (sc),FT-Z (sc),FC-Z (sc),FS-Z (sc),FO-Z (sc),SI-Z (sc),SL-Z (sc),CU-Z (sc),KC-Z (sc),EP-Z (sc),CH-Z (sc),SC-Z (sc),KN-Z (sc),wFA/C (sc),wFT/C (sc),wFC/C (sc),wFS/C (sc),wFO/C (sc),wSI/C (sc),wSL/C (sc),wCU/C (sc),wKC/C (sc),wEP/C (sc),wCH/C (sc),wSC/C (sc),wKN/C (sc),O-Swing% (sc),Z-Swing% (sc),Swing% (sc),O-Contact% (sc),Z-Contact% (sc),Contact% (sc),Zone% (sc),Stf+ CH,Stf+ CU,Stf+ FA,Stf+ SI,Stf+ SL,Stf+ KC,Stf+ FC,Stf+ FS,Stuff+,Stf+ FO,NameASCII,PlayerId,MLBAMID
2023,"Kodai Senga","NYM",30,166.1,0.3708,,0.2479,,0.2372,,0.1179,0.0262,,,,,,,95.64695803140097,,90.82818144869943,,83.23232746412387,,82.72431848404256,72.72602739726027,,,,,,-5.115681140549517,,-0.2675317973759822,,-4.74684276753682,,3.347112313592325,1.4244657542607555,,,,,,9.797197690217391,,5.874205131751264,,1.6254683664558156,,-0.22734164901779777,-6.634712532775043,,,,,,0.23645584997923477,,2.4392790790927203,,0.94939968365827,,-0.9098605295263887,-0.35263399963509545,,,,,,0.2822,0.6568,0.4504,0.4885,0.8445,0.7216,0.4489,,89.57260273972602,109.33323671497583,,99.63309352517986,,92.97572254335262,,97.39797297297294,83.00528700906344,"Kodai Senga",31838,673540
2021,"Zack Greinke","HOU",37,171,0.402,,,,,0.057,0.1517,0.1638,,0.0008,0.2224,,,,88.8635104853214,,,,,89.53060959796517,83.58439999163303,71.18933557447099,,52.20000076293945,86.35933409685863,,,-1.1196428947006873,,,,,-7.841496331351144,3.9544757028369952,6.147203721141363,,1.590000033378601,-7.526072929874973,,,9.711669958696403,,,,,6.8601358731587725,2.1639386638046227,-6.118625475897043,,11.03499984741211,3.068097715394451,,,0.28748055272753636,,,,,-1.850255568619488,-0.5434097088587558,0.17983449790715042,,4.47931345552206,1.5380665107287246,,,0.2973,0.6432,0.4594,0.6167,0.8945,0.799,0.4688,109.0547993019197,101.87464454976303,83.33629343629343,83.18639455782312,99.79539641943738,,,,94.59337239940524,,"Zack Greinke",1943,425844
2021,"Adam Wainwright","STL",39,206.1,0.0945,,0.2197,,,0.2806,,0.337,,,0.0639,,,,89.0279296875,,84.94035724221068,,,89.05458768873403,,73.47610916344294,,,82.74081732302295,,,-1.3705862111058729,,3.130029514210868,,,-7.665435472016551,,9.156605113636363,,,-8.15913235411352,,,8.550931101831896,,3.9326559457297847,,,7.333519345238095,,-8.516431561291103,,,4.674387717733578,,,-1.5723897940639793,,0.40864945010721504,,,2.029141076298541,,1.410744097840394,,,0.5081824445146688,,,0.255,0.5926,0.4338,0.5951,0.8962,0.8129,0.5297,86.5673469387755,141.4694390715667,78.11,81.18257839721254,,,84.7246290801187,,102.41752712923382,,"Adam Wainwright",2233,425794
2021,"Max Scherzer","- - -",36,179.1,0.4667,,0.0904,,,,0.1957,0.0982,,,0.1491,,,,94.2977860613567,,90.22283310777559,,,,85.89818181818181,76.86267974411231,,,84.9816201148568,,,-7.021021214927115,,-1.6514566977193037,,,,0.5734727200594816,6.82235496631567,,,-9.4721242681608,,,9.322728598990091,,5.16956683782142,,,,2.8568909801136364,-4.6427174443783965,,,2.4261336224175865,,,1.5268522377194065,,-0.7305807016027255,,,,2.7969667450948195,-0.027601991820594536,,,1.4142948316147903,,,0.3017,0.683,0.5041,0.4447,0.7763,0.6831,0.5308,81.63317422434368,89.76376811594203,118.43727134146343,,125.53109090909092,,99.64960629921259,,109.74201795206565,,"Max Scherzer",3137,453286
2021,"Charlie Morton","ATL",37,185.2,0.3599,,0.0854,,,0.1346,,0.3669,,,0.0532,,,,95.52279069767442,,87.4835324754902,,,94.64577503109453,,80.64334084169708,,,86.43081761006289,,,-8.031404433139535,,0.6856862984451593,,,-10.540795776974502,,8.735502145586223,,,-10.820125939711085,,,7.336883630087209,,2.285333371629902,,,3.643855612076337,,-5.763658955149407,,,1.943521943482213,,,0.8450204740430034,,0.31245852656224193,,,-0.9491786434875792,,2.4994700678019193,,,0.3082858175976471,,,0.2561,0.6341,0.4566,0.4234,0.8398,0.7302,0.5306,99.20628930817611,149.19279197080292,91.68437209302328,92.20845771144279,,,91.9278431372549,,113.27752093802341,,"Charlie Morton",4676,450203
2021,"Jordan Lyles","TEX",30,180,0.3947,,0.0283,,,0.0894,0.2321,0.1825,,,0.0729,,,,93.03598298944979,,86.2750011625744,,,91.63547179024175,83.33836968000546,80.27116577374076,,,86.35787059642651,,,-4.303435757628873,,2.8441665967305503,,,-7.747245155190522,5.369128027627634,3.702033277359996,,,-7.963287000302915,,,10.555675539196047,,1.150119083268302,,,7.3729055440650795,0.41768894361895187,-8.172569430028664,,,5.579953476234719,,,-1.363400658353781,,-4.938178194598073,,,1.8412137917190228,0.6860419528472216,-1.6631727229094548,,,-0.24179382663634091,,,0.2785,0.6811,0.4787,0.5807,0.8625,0.7801,0.4973,80.18194444444444,103.61256931608132,83.92068376068376,89.18943396226415,103.42864026507222,,57.11666666666667,,93.43043093072751,,"Jordan Lyles",7593,543475
2021,"Wade Miley","CIN",34,163,0.1632,,0.4657,,,0.0112,0.0513,0.0343,,,0.2735,,,,89.86264406028369,,85.38193869096935,,,88.73792766702586,79.16842398966165,74.76179555828652,,,81.92143974788435,,,2.127044894171099,,-1.6493123203836992,,,8.119999852673761,-5.853458720042293,-5.525617963812325,,,8.897573882669253,,,9.797541047946217,,4.288558441642502,,,7.751379078832166,2.551578837229793,-4.730000013715766,,,4.2818336648228135,,,0.6557924615716821,,0.03426465936554496,,,-0.651248531608746,-0.5091379207551927,-1.8849907631284735,,,0.4527703132506654,,,0.2741,0.7008,0.4684,0.6796,0.8319,0.7834,0.4552,109.36403385049366,84.4988764044944,85.6260047281324,77.3103448275862,115.5714285714286,,102.41217895608948,,101.27888198757768,,"Wade Miley",8779,489119
2021,"Nathan Eovaldi","BOS",31,182.1,0.4226,,0.1254,0.1271,,,0.1373,0.1876,,,,,,,96.84882780921585,,92.49618954359673,87.89838499663979,,,85.79627254353234,78.54626309198542,,,,,,-7.663759347210994,,-0.3740871751665744,-6.868548649613575,,,2.6673134571284205,4.993023537112933,,,,,,8.357073722968876,,6.836785007237738,1.272311795142389,,,1.4361443211190144,-5.961493820440574,,,,,,-0.019429222038414753,,0.32299820039350263,-0.015914022562003905,,,0.027633017271905393,1.480598419986136,,,,,,0.3163,0.6633,0.5149,0.5202,0.8398,0.7558,0.5723,,110.95901639344261,98.23508488278091,,117.22636815920403,,96.40108991825615,145.43951612903223,108.99767362299008,,"Nathan Eovaldi",9132,543135
2021,"Patrick Corbin","WSN",31,171.2,0.2785,,0.0029,,,0.2851,0.3818,0.0095,,,0.0422,,,,92.25430401436032,,85.875,,,92.60331632653062,80.70075892857143,64.70769324669472,,,81.54568797144397,,,5.3196084443333875,,-0.0037499999161809683,,,8.553902762276786,-1.2254666573660715,-1.4515385260948768,,,6.4712066650390625,,,8.948342266032963,,3.8887500762939453,,,7.731211759606186,0.6671142578125,-0.9880769436176007,,,7.7273275441136855,,,-1.3277766248576013,,1.0048681404441595,,,-0.00333593521571281,-0.2990898479308401,-13.187954345574745,,,-4.76708835440463,,,0.3177,0.6457,0.4749,0.5429,0.8825,0.7642,0.4793,89.35775862068967,56.39999999999999,60.64334203655351,78.4544642857143,104.64171428571429,,86.9875,,83.67511839708558,,"Patrick Corbin",9323,571578
2021,"Dallas Keuchel","CHW",33,162,0.0217,,0.2437,,,0.3787,0.0705,,,,0.2855,,,,89.02372883942168,,85.14096620858433,,,87.75358829941861,77.81822713216145,,,,79.5544998443525,,,3.3866102533825373,,-0.4273042298225035,,,8.691482780515685,-3.3440626561641693,,,,8.638367601409364,,,8.395254199787722,,4.753117457929864,,,3.322499903597573,0.49911459907889366,,,,3.2136504460116586,,,-1.1781100373146898,,-0.9222785139972547,,,-0.5824430253674355,-2.9115763143636286,,,,-0.2128742391047257,,,0.273,0.641,0.4396,0.6511,0.8812,0.803,0.4528,81.46195372750643,,75.46779661016949,68.4971899224806,103.7546875,,76.05527108433735,,76.67394127888446,,"Dallas Keuchel",9434,572971
