Name,Team,IP,FA% (sc),FT% (sc),FC% (sc),FS% (sc),FO% (sc),SI% (sc),SL% (sc),CU% (sc),KC% (sc),EP% (sc),CH% (sc),SC% (sc),KN% (sc),UN% (sc),vFA (sc),vFT (sc),vFC (sc),vFS (sc),vFO (sc),vSI (sc),vSL (sc),vCU (sc),vKC (sc),vEP (sc),vCH (sc),vSC (sc),vKN (sc),FA-X (sc),FT-X (sc),FC-X (sc),FS-X (sc),FO-X (sc),SI-X (sc),SL-X (sc),CU-X (sc),KC-X (sc),EP-X (sc),CH-X (sc),SC-X (sc),KN-X (sc),FA-Z (sc),FT-Z (sc),FC-Z (sc),FS-Z (sc),FO-Z (sc),SI-Z (sc),SL-Z (sc),CU-Z (sc),KC-Z (sc),EP-Z (sc),CH-Z (sc),SC-Z (sc),KN-Z (sc),wFA/C (sc),wFT/C (sc),wFC/C (sc),wFS/C (sc),wFO/C (sc),wSI/C (sc),wSL/C (sc),wCU/C (sc),wKC/C (sc),wEP/C (sc),wCH/C (sc),wSC/C (sc),wKN/C (sc),O-Swing% (sc),Z-Swing% (sc),Swing% (sc),O-Contact% (sc),Z-Contact% (sc),Contact% (sc),Zone% (sc),Season,Age,NameASCII,PlayerId,MLBAMID
"Cole Irvin","- - -",436.2,0.3711,,0.039,,,0.2012,0.0623,0.1217,,,0.2047,,,,90.92750366411381,,85.79961013793945,,,90.72392112391181,82.93594129044736,77.33504313252894,,,83.79672422863189,,,5.699338828401612,,-0.4667999744415283,,,8.620534130157077,-0.8597554717495273,-4.811491850469825,,,7.826264835539318,,,9.588542543608567,,2.7640523612499237,,,7.230773740966242,1.3061125365912476,-2.485871067930372,,,4.9570631980896,,,0.4921720893854774,,1.6447251953650266,,,-0.24800380123645224,-0.016752173236063466,-1.9043314236872486,,,0.5346957932315057,,,0.2942,0.6921,0.5147,0.6829,0.8658,0.8192,0.5542,2021,28,"Cole Irvin",19244,608344
"Chris Flexen","- - -",419.2,0.4013,,0.3035,,,0.0044,0.052,0.0811,,,0.1576,,,,92.17979424974696,,88.19484013838199,,,90.83333282470703,80.85596535422586,76.43497125177436,,,81.722775231373,,,-1.1518999411421837,,3.0998569460680887,,,-4.298946603139242,4.110304008830678,4.372225180349715,,,-6.934972675470068,,,10.774589687399361,,4.505389270643248,,,8.987643241882324,-1.2284684723073787,-7.258611335129034,,,5.504888475555735,,,-0.8411063869231143,,0.001460305820706407,,,-6.618177865942319,0.8714062542739239,-1.1828904696663871,,,1.008822105217449,,,0.2695,0.711,0.4882,0.6254,0.88,0.8091,0.4953,2021,27,"Chris Flexen",13896,623167
"Germán Márquez","COL",381.2,0.3738,,,,,0.1621,0.2387,,0.2004,,0.025,,,,95.14264290599617,,,,,94.85983533591312,86.95257943628533,,85.9545433994897,,87.03311012886665,,,-4.693919598410706,,,,,-8.512556729033884,-0.04035187576347863,,0.7286600031033911,,-6.457304593679067,,,7.331079448603551,,,,,5.6755619108614885,1.8624536952365836,,-0.8864136448612919,,4.573795318603516,,,-0.4172709721749117,,,,,-0.0032338520180546404,-0.24625726175813706,,0.9445094327859406,,-3.2684739477731086,,,0.2662,0.6761,0.4831,0.4751,0.8713,0.7685,0.5292,2021,27,"German Marquez",15038,608566
"Lucas Giolito","- - -",524.2,0.4437,,,,,,0.2456,0.0249,,,0.2858,,,,93.18226712702378,,,,,,84.56645489959438,79.45630735105222,,,81.15396700706991,,,-3.773039482226711,,,,,,0.8160967626345005,3.451121201386323,,,-6.894080798080936,,,10.83395636645625,,,,,,1.5244244718464464,-6.627596399805567,,,6.975852229140073,,,-0.36624044117718263,,,,,,-0.010612381918447763,-1.6520220400379586,,,0.3040254862286964,,,0.2945,0.6748,0.4813,0.5026,0.8253,0.7248,0.4912,2021,27,"Lucas Giolito",15474,608337
"Tyler Mahle","- - -",326.1,0.5242,,0.0492,0.1913,,,0.2353,,,,,,,,93.65048322725376,,85.47224095028915,85.84693656006976,,,85.96532680874779,,,,,,,-7.075696249119626,,0.45560748891049857,-8.756435663026075,,,1.440165180180754,,,,,,,10.140928239774624,,5.875079226239296,5.419291783338933,,,3.2691462891442433,,,,,,,0.47851047452184714,,-0.21790581957513327,0.5671178313672597,,,-0.402734771515021,,,,,,,0.269,0.637,0.4507,0.5861,0.8236,0.7518,0.4938,2021,27,"Tyler Mahle",16358,641816
"Nestor Cortes","NYY",314.2,0.4532,,0.277,,,0.0267,0.1855,0.0008,,,0.0568,,,,91.45484463623472,,86.43725951887045,,,90.52592276114005,77.18251463802639,72.42500305175781,,,82.99930245535714,,,2.9103533493494695,,-2.2348323280176547,,,7.236962297227648,-8.064701625279017,-4.204999923706055,,,8.024135895307056,,,11.226635944572834,,4.517794318406774,,,8.586051121464482,1.8334616069346348,-7.239999771118164,,,3.273921953261106,,,1.4341559654417046,,1.0873384475920729,,,3.223024711564735,-0.1440990549414905,-9.336220193654299,,,-2.3104382516615067,,,0.2789,0.6835,0.4948,0.6778,0.82,0.7826,0.5335,2021,27,"Nestor Cortes",17874,641482
"José Urquidy","HOU",334.1,0.5049,,0.0239,,,0.0196,0.1644,0.1151,,,0.172,,,,93.13968885693829,,87.44062805175781,,,93.75142647879464,79.94256474021886,78.24619252407376,,,85.56171218640375,,,-4.927446750209495,,1.6346875429153442,,,-8.926657104492188,7.247162384829917,4.0387487179649515,,,-9.584087782464678,,,11.560787474413052,,3.808046817779541,,,8.073047310965402,0.9293779742298278,-7.9615009623176665,,,7.327471734644792,,,0.3249518732978781,,-0.7720572350081056,,,-1.3837968770946776,-0.6694983378069626,-0.4931870582279549,,,0.7278268756809566,,,0.3146,0.6983,0.5197,0.6459,0.8485,0.7914,0.5344,2021,27,"Jose Urquidy",18413,664353
"Cal Quantrill","CLE",435.2,0.0632,,0.2101,0.0302,,0.4136,0.1031,0.0592,,,0.1206,,,,94.1402266068892,,88.35426990772386,86.76333705357143,,93.8399658203125,88.14080997562674,82.04393131293139,,,85.36785714285715,,,-4.879867206920277,,1.115820925771905,-6.504618908110119,,-7.3810972849528,1.1084400910188892,1.598339769446734,,,-7.029273986816406,,,9.585027451948687,,4.296308954203691,2.898238118489583,,8.801718690660264,3.5022979778831718,-1.3204562962055206,,,5.117324901762463,,,-1.909684008834037,,0.15923331758377898,-1.1313718379963014,,0.310414212419548,1.6109829171869416,0.8589027729789608,,,0.2948648376124246,,,0.2837,0.6795,0.4749,0.6866,0.8784,0.8192,0.4831,2021,27,"Cal Quantrill",19312,615698
"Eric Lauer","MIL",324,0.4379,,0.2153,,,,0.1408,0.1494,,,0.0566,,,,92.66042563953033,,89.15173930005567,,,,86.57665049828753,78.08031622180145,,,86.68613121278824,,,6.2084490320302725,,1.5060496892435657,,,,-0.9617902938803191,-2.9191510939656378,,,8.573226965627363,,,9.911927911219147,,6.427287534498582,,,,2.821169522640461,-4.154484224202872,,,5.007693749089395,,,0.07835001256736344,,-0.8238400123299331,,,,1.8100731678780568,-0.6842015065198132,,,-0.45396570717134777,,,0.2649,0.6564,0.4715,0.6686,0.8334,0.7897,0.5278,2021,27,"Eric Lauer",19316,641778
"Corbin Burnes","MIL",562.2,0.0054,,0.5454,,,0.0777,0.0895,0.1794,,,0.1026,,,,96.33958180745442,,94.88032786885246,,,96.14057441546763,87.42883895131087,80.91800525700934,,,90.03093724468954,,,-3.3164584636688232,,1.9334139464331455,,,-6.519597115276529,4.784531877877263,5.829663466218848,,,-8.131579563248911,,,8.385416666666666,,6.811245877625512,,,7.202992742524731,0.6428576694445663,-4.463626089125778,,,4.53626352613528,,,-6.1492461400727425,,1.6299009567401448,,,-1.772514932232795,1.6828560687778296,1.7608510999943237,,,0.2581768427734022,,,0.3156,0.6412,0.4683,0.445,0.8242,0.6885,0.4691,2021,27,"Corbin Burnes",19361,669203
"Dane Dunning","TEX",443.2,0.014,,0.1388,,,0.4065,0.2448,0.0178,0.0126,,0.1655,,,,90.32799987792968,,87.88529511881019,,,90.23958263370982,80.1705885559814,77.7275573249877,78.19777662489149,,84.71790507033064,,,-4.230694007873535,,-0.12468076700650434,,,-9.176434103691594,2.083447748834511,5.172556058628353,3.767111237843831,,-10.47663997637259,,,6.312729988098145,,5.282735177277318,,,3.917434624169519,-1.7987327641041058,-8.594899935985175,-8.390888680352106,,2.9825456400175354,,,-3.524704977869988,,-0.1002400854653102,,,0.4334925809693222,-0.6476285217967053,-1.466348468084035,-0.2624987976418601,,-0.9256614422475969,,,0.2915,0.626,0.4558,0.5919,0.8745,0.7825,0.4911,2021,27,"Dane Dunning",19409,641540
"Shane Bieber","CLE",424.2,0.3488,,0.1641,,,,0.2556,,0.199,,0.0326,,,,91.6526944008079,,86.76479077521171,,,,85.07170707669933,,82.55452461152636,,86.9874995304988,,,-5.642464053909055,,0.7726106948524941,,,,1.0186539957732126,,5.1595909424788555,,-8.380600855900692,,,10.237778285247419,,4.623883516733883,,,,1.1130306059352035,,-6.365499645026063,,4.424817452063928,,,0.14983420385653068,,0.831906006579067,,,,1.8195400346442372,,0.030587773028553047,,-0.8236367739020632,,,0.3168,0.6388,0.4795,0.4236,0.8637,0.7199,0.5053,2021,27,"Shane Bieber",19427,669456
"Aaron Civale","- - -",343.2,0.1486,,0.3209,0.0646,,0.1668,0.074,0.225,,,,,,,91.41933737186352,,87.28458049886622,85.52056179852553,,91.83380546278626,82.80098040156633,77.05101019351252,,,,,,-2.2783806192685225,,2.644488068664966,-6.3067070329693005,,-7.616324887540895,5.443105711690917,5.9984317369391675,,,,,,10.17397783669293,,3.734370778747697,4.091678329252861,,7.372453828934365,-0.09968674680817625,-9.22808408621539,,,,,,-1.417516253095216,,1.3389771757752986,-2.3298593746944216,,0.3479530858109535,-0.936752981540612,1.1741863218834059,,,,,,0.2985,0.6409,0.4692,0.6112,0.8696,0.7871,0.4985,2021,27,"Aaron Civale",19479,650644
"Shohei Ohtani","LAA",428.1,0.3416,,0.1207,0.1216,,0.0329,0.3276,0.0556,,,,,,,96.48068576388889,,88.61425301366708,88.66170684070121,,95.71171171171171,84.13218474139882,76.71653125,,,,,,-2.811354160308838,,1.5025111018000423,-3.7488292414967606,,-9.510315216339386,7.7340877562316095,5.948397379557291,,,,,,8.72749137878418,,2.8065527463720823,2.035112185594512,,3.93444604272241,2.317645962716444,-7.745863932291667,,,,,,0.16414807873338252,,0.09234422859014985,2.05964513804491,,0.02215606168852196,2.318948397354715,-0.658385576804479,,,,,,0.2732,0.6558,0.4781,0.4252,0.818,0.7137,0.5354,2021,27,"Shohei Ohtani",19755,660271
"Brad Keller","KCR",318.2,0.3227,,,,,0.2389,0.3402,0.0315,,,0.0667,,,,94.18788532955546,,,,,93.46118870100837,86.2502938560596,85.10636063945087,,,90.21907255500149,,,0.5675476367037061,,,,,-6.374069155441934,3.298271820419042,2.0749386803952254,,,-6.486756067509872,,,7.8179818768568445,,,,,5.22501764449899,-1.2440265946564095,-3.7519548118459007,,,4.778344562333026,,,-1.2412613313382779,,,,,-0.7204265065797388,-0.1856302284002941,-0.23873475934728722,,,-0.6502622804459823,,,0.2502,0.6614,0.4498,0.5508,0.8918,0.7943,0.4855,2021,26,"Brad Keller",15734,641745
"Pablo López","- - -",476.2,0.3568,,0.0652,,,0.101,0.085,0.1015,,,0.2904,,,,94.15083049207519,,90.00766286542338,,,93.91432189941406,84.39133247871517,81.53199380667098,,,87.88922207597373,,,-3.5598525185449685,,-0.5661894890569872,,,-8.961484591166178,6.6959905004353715,5.306127044203368,,,-10.344519573709238,,,7.959218706805197,,4.289012047552293,,,4.380638043085734,-0.023422754954996492,-4.9731993601112165,,,2.5854574009992075,,,0.2971554396779081,,-0.2582601647103025,,,1.1052214443528405,1.3449982471833288,0.4874079850130748,,,0.18419707058996393,,,0.3263,0.6778,0.5045,0.547,0.8266,0.7375,0.507,2021,26,"Pablo Lopez",17085,641154
