Season,Name,Team,IP,RS,BABIP,GB/FB,LD%,GB%,FB%,IFFB%,HR/FB,RS/9,Pull%,Cent%,Oppo%,Soft%,Med%,Hard%,Stf+ FA,Stuff+,Location+,Pitching+,K/9,BB/9,HR/9,vFA (sc),K/BB,FIP,xFIP,SIERA,NameASCII,PlayerId,MLBAMID
2018,"Marco Gonzales","SEA",166.2,76,0.31893004115226337,1.493333333,0.250501002,0.448897795,0.300601202,0.113333333,0.113333333,4.103991608659736,0.4573,0.3479,0.1948,0.173,0.4871,0.34,,,,,7.829983990206075,1.7279964668040992,0.9179981229896778,90.05309681056701,4.5313,3.430429593201813,3.590879192225689,3.8080729876882944,"Marco Gonzales",15467,594835
2017,"Trevor Bauer","CLE",176.1,107,0.3369330453563715,1.44516129,0.21532091,0.463768115,0.320910973,0.103225806,0.161290322,5.46123710426857,0.4139,0.332,0.2541,0.1496,0.5061,0.3443,,,,,10.003761424641494,3.0623759463188245,1.2759899776328436,94.12977777777778,3.2667,3.8835366916599323,3.6040351469831338,3.802207130168356,"Trevor Bauer",12703,545333
2017,"Jose Quintana","- - -",188.2,107,0.3006134969325153,1.298850574,0.207920792,0.447524752,0.344554455,0.097701149,0.132183908,5.104250259079782,0.4375,0.3223,0.2402,0.1816,0.4922,0.3262,,,,,9.874577604014158,2.9098996804099695,1.0971752893349065,92.15097146166806,3.3934,3.6770758152772136,3.732791770527482,3.8014933508538418,"Jose Quintana",11423,500779
2016,"Drew Pomeranz","- - -",170.2,77,0.2680652680652681,1.24074074,0.165517241,0.462068965,0.372413793,0.11728395,0.135802469,4.060547800566139,0.3769,0.3415,0.2816,0.1907,0.4945,0.3149,,,,,9.80859598578314,3.4277351563220653,1.1601565144474681,91.14433502999631,2.8615,3.802820069172628,3.7080566016131686,3.799345991413032,"Drew Pomeranz",11426,519141
2020,"Dylan Bundy","LAA",65.2,50,0.27218934911242604,1.13114754,0.235294117,0.405882352,0.358823529,0.098360655,0.081967213,6.8527881626561244,0.4104,0.3757,0.2139,0.1734,0.526,0.3006,83.98538011695906,92.25504950495046,104.49623762376241,103.09415841584159,9.868014954224819,2.3299479753030825,0.6852788162656125,89.98070289656432,4.2353,2.9477651019475197,3.7491590940955843,3.7992331612259633,"Dylan Bundy",12917,605164
2015,"Sonny Gray","OAK",208,118,0.2551369863013699,1.715846994,0.166107382,0.526845637,0.307046979,0.081967213,0.092896174,5.105769230769231,0.421,0.3394,0.2396,0.183,0.5657,0.2512,,,,,7.3125,2.5528846153846154,0.7355769230769231,93.04378283712785,2.8644,3.4509076411907493,3.6867125822302818,3.799004316616075,"Sonny Gray",12768,543243
2018,"José Berríos","MIN",192.1,98,0.2701612903225806,1.082051282,0.200787401,0.41535433,0.383858267,0.092307692,0.128205128,4.5857966867213,0.4146,0.3186,0.2668,0.1977,0.4607,0.3417,,,,,9.452356435894924,2.854424468265299,1.169846093551352,93.39697408536585,3.3115,3.903932329165198,3.8886679218933473,3.7974140825767453,"Jose Berrios",14168,621244
2016,"Masahiro Tanaka","NYY",199.2,120,0.2711571675302245,1.554347826,0.207419898,0.482293423,0.310286677,0.119565217,0.119565217,5.409005793260675,0.4459,0.3328,0.2213,0.1847,0.4908,0.3245,,,,,7.437382965733429,1.6227017379782027,0.9916510620977905,91.98421052631579,4.5833,3.512178644501024,3.6147004226039785,3.787396257849538,"Masahiro Tanaka",15764,547888
2021,"Frankie Montas","OAK",187,100,0.29568788501026694,1.21590909,0.22,0.428,0.352,0.09090909,0.113636363,4.81283422459893,0.3913,0.3439,0.2648,0.1542,0.5415,0.3043,113.31047835990887,114.79745033112584,103.34804635761587,106.71834437086092,9.962566844919786,2.7433155080213902,0.9625668449197861,96.42095849943053,3.6316,3.3732388639195077,3.6434386459901367,3.7851651814765357,"Frankie Montas",14309,593423
2016,"Rick Porcello","BOS",223,189,0.2685624012638231,1.134146341,0.188562596,0.43122102,0.380216383,0.138211382,0.093495934,7.62780269058296,0.4284,0.3262,0.2454,0.1692,0.5305,0.3003,,,,,7.62780269058296,1.2914798206278026,0.9282511210762332,91.59175531914893,5.9063,3.3976909958193655,3.894271062388014,3.779484616300662,"Rick Porcello",2717,519144
